timestamp,air_temperature,surface_snow_thickness,wind_speed,wind_from_direction,relative_humidity,max_wind_gust,max_wind_speed,min_air_temperature,max_air_temperature,precip_duration,precip_amount,dew_point_temperature
2018-12-01 00:00:00,1.2,2.7,2.0,153,94,5.4,2.7,0.9,1.3,44,0.8,0.4
2018-12-01 01:00:00,0.9,2.6,2.0,152,96,6.5,3.2,0.7,1.3,51,0.9,0.2
2018-12-01 02:00:00,1.2,2.6,2.8,145,92,6.1,3.0,0.9,1.2,52,0.1,0.2
2018-12-01 03:00:00,1.1,2.6,2.7,138,93,6.1,3.1,1.0,1.1,22,0.1,0.0
2018-12-01 04:00:00,1.1,2.7,3.6,143,92,6.6,3.6,1.0,1.3,35,0.3,0.0
2018-12-01 05:00:00,0.2,3.9,2.2,141,97,7.8,4.3,0.2,1.1,59,1.3,-0.2
2018-12-01 06:00:00,0.0,8.9,1.5,147,98,4.5,2.3,0.0,0.2,59,3.4,-0.2
2018-12-01 07:00:00,0.0,12.0,0.0,0,98,0.0,1.3,-0.1,0.0,59,2.6,-0.2
2018-12-01 08:00:00,0.2,13.8,0.0,0,98,0.0,0.0,0.0,0.2,59,3.1,0.0
2018-12-01 09:00:00,0.5,13.4,0.0,0,97,0.0,0.0,0.2,0.8,50,0.6,0.0
2018-12-01 10:00:00,0.6,13.0,0.7,144,97,3.8,1.4,0.5,1.0,37,1.1,0.2
2018-12-01 11:00:00,1.2,12.9,0.8,138,97,3.6,1.1,0.5,1.2,26,0.8,0.9
2018-12-01 12:00:00,0.9,12.7,1.0,135,96,5.0,1.8,0.9,1.4,25,0.9,0.2
2018-12-01 13:00:00,0.6,13.7,0.1,132,97,3.8,1.2,0.4,0.8,47,1.5,0.2
2018-12-01 14:00:00,0.5,14.3,0.9,140,96,4.1,1.5,0.3,0.7,55,1.7,-0.2
2018-12-01 15:00:00,0.2,15.8,1.2,149,97,4.0,1.7,0.2,0.5,59,1.4,-0.2
2018-12-01 16:00:00,0.4,15.9,1.0,138,97,2.4,1.2,0.2,0.4,22,0.2,0.0
2018-12-01 17:00:00,0.2,16.2,0.7,151,97,2.7,1.2,0.2,0.4,48,0.8,-0.2
2018-12-01 18:00:00,0.3,15.9,0.5,147,97,2.2,1.0,0.3,0.4,9,0.2,-0.2
2018-12-01 19:00:00,0.7,15.7,1.2,149,94,2.5,1.2,0.4,0.7,0,0.0,-0.2
2018-12-01 20:00:00,0.6,15.6,1.6,174,91,3.2,1.8,0.4,0.8,0,0.0,-0.7
