timestamp,air_temperature,surface_snow_thickness,relative_humidity,min_air_temperature,max_air_temperature,precip_duration,precip_amount,dew_point_temperature,wind_speed,wind_from_direction,max_wind_gust,max_wind_speed
2024-12-31 00:00:00,-7.2,18.9,86,-7.2,-5.9,0,0.0,-8.9,,,,
2024-12-31 01:00:00,-5.7,18.4,92,-7.3,-5.6,21,0.0,-6.7,,,,
2024-12-31 02:00:00,-5.0,18.3,89,-5.8,-5.0,0,0.0,-6.7,,,,
2024-12-31 03:00:00,-5.4,18.2,90,-5.6,-4.9,0,0.0,-6.7,,,,
2024-12-31 04:00:00,-5.7,18.1,86,-5.8,-5.4,0,0.0,-7.8,,,,
2024-12-31 05:00:00,-5.9,17.9,86,-6.3,-5.6,0,0.0,-7.8,,,,
2024-12-31 06:00:00,-6.1,18.0,87,-6.4,-5.7,0,0.0,-7.8,,,,
2024-12-31 07:00:00,-5.7,17.8,88,-6.1,-5.7,0,0.0,-7.4,,,,
2024-12-31 08:00:00,-5.3,17.7,83,-5.8,-5.3,0,0.0,-7.8,,,,
2024-12-31 09:00:00,-4.8,17.5,80,-5.4,-4.8,0,0.0,-7.8,,,,
2024-12-31 10:00:00,-3.6,17.7,68,-4.9,-3.6,0,0.0,-8.5,,,,
2024-12-31 11:00:00,-3.8,17.1,70,-3.8,-3.5,0,0.0,-8.5,,,,
2024-12-31 12:00:00,-4.1,15.4,84,-4.3,-3.8,38,0.4,-6.3,,,,
2024-12-31 13:00:00,-4.4,11.7,89,-4.4,-4.1,49,0.4,-6.0,,,,
2024-12-31 14:00:00,-3.1,11.3,83,-4.4,-2.9,19,0.4,-5.3,,,,
2024-12-31 15:00:00,-3.5,11.3,90,-3.7,-3.1,41,1.1,-5.0,9.0,135.0,15.1,10.6
2024-12-31 16:00:00,-3.1,11.3,93,-3.5,-3.0,27,1.0,-3.8,9.7,139.0,16.0,11.0
2024-12-31 17:00:00,-2.2,11.1,91,-3.1,-2.1,43,2.0,-3.5,8.5,144.0,16.6,10.8
2024-12-31 18:00:00,-2.2,11.1,91,-2.6,-1.7,49,3.0,-3.5,7.3,138.0,15.0,9.9
2024-12-31 19:00:00,-2.1,11.2,90,-2.7,-1.9,49,1.6,-3.5,7.1,137.0,14.3,9.4
2024-12-31 20:00:00,-1.5,11.6,91,-2.3,-1.5,45,1.4,-2.7,5.0,132.0,10.7,7.1
2024-12-31 21:00:00,-1.0,13.8,95,-1.5,-1.0,60,3.2,-1.7,3.7,150.0,8.5,5.2
2024-12-31 22:00:00,-0.9,15.3,94,-1.4,-0.8,60,2.6,-1.7,4.0,149.0,8.5,4.9
2024-12-31 23:00:00,-0.6,16.4,94,-1.1,-0.6,60,3.6,-1.4,3.2,175.0,7.0,4.0
2025-01-01 00:00:00,-1.2,16.7,98,-2.5,-0.4,60,2.0,-1.4,0.8,128.0,5.8,3.5
2025-01-01 01:00:00,-1.1,19.0,98,-2.8,0.0,60,2.5,-1.4,0.0,0.0,4.3,2.6
2025-01-01 02:00:00,1.0,19.2,98,-0.7,1.3,57,0.9,0.9,1.0,155.0,3.7,1.0
2025-01-01 03:00:00,1.2,17.8,99,0.8,1.3,60,2.5,1.1,2.1,148.0,4.5,2.1
2025-01-01 04:00:00,1.7,17.0,98,1.1,1.8,58,2.4,1.5,2.3,106.0,6.0,3.1
2025-01-01 05:00:00,1.0,16.8,99,1.0,1.7,32,0.4,0.9,1.4,149.0,5.8,3.0
2025-01-01 06:00:00,0.5,16.7,95,0.5,1.0,50,0.4,-0.2,0.9,218.0,4.7,2.1
2025-01-01 07:00:00,-0.4,17.9,98,-0.4,0.5,60,0.5,-0.7,1.5,137.0,2.8,1.8
2025-01-01 08:00:00,-0.8,18.2,98,-0.8,-0.4,60,0.3,-0.9,0.7,147.0,3.7,2.1
2025-01-01 09:00:00,-1.0,18.2,99,-1.0,-0.8,57,0.2,-1.2,0.4,3.0,2.5,1.2
2025-01-01 10:00:00,-2.8,18.3,97,-2.8,-1.1,60,0.4,-3.0,1.2,326.0,2.4,1.8
2025-01-01 11:00:00,-3.2,18.3,97,-3.2,-2.8,54,0.2,-3.5,0.0,0.0,2.0,1.5
2025-01-01 12:00:00,-3.6,18.7,80,-3.6,-3.1,55,0.0,-6.3,4.6,123.0,8.3,4.6
2025-01-01 13:00:00,-4.1,18.7,77,-4.2,-3.6,1,0.0,-7.4,3.8,116.0,7.8,4.6
2025-01-01 14:00:00,-4.2,18.5,77,-4.2,-4.0,0,0.0,-7.4,1.2,67.0,6.8,4.1
2025-01-01 15:00:00,-5.0,18.5,80,-5.0,-4.2,0,0.0,-7.8,1.0,136.0,3.8,1.8
2025-01-01 16:00:00,-5.4,18.5,88,-5.4,-5.0,7,0.0,-7.0,0.4,69.0,2.7,1.5
2025-01-01 17:00:00,-6.4,18.6,82,-6.4,-5.4,0,0.0,-8.9,1.1,321.0,4.2,2.3
2025-01-01 18:00:00,-7.4,18.7,82,-7.4,-6.4,0,0.0,-9.8,0.7,285.0,2.2,1.4
2025-01-01 19:00:00,-7.7,18.8,74,-8.3,-7.5,0,0.0,-11.6,1.4,288.0,2.5,1.4
2025-01-01 20:00:00,-7.9,18.5,72,-7.9,-7.3,0,0.0,-12.1,1.6,288.0,3.9,2.1
2025-01-01 21:00:00,-8.8,18.5,72,-9.5,-7.9,0,0.0,-13.2,0.9,266.0,2.9,1.6
2025-01-01 22:00:00,-8.5,18.5,59,-8.7,-7.2,0,0.0,-15.0,1.5,295.0,4.8,2.6
2025-01-01 23:00:00,-10.3,18.5,68,-10.6,-8.6,0,0.0,-15.0,0.8,173.0,3.2,2.0
2025-01-02 00:00:00,-9.1,18.5,57,-10.7,-9.0,0,0.0,-15.6,0.9,177.0,1.8,1.1
2025-01-02 01:00:00,-9.2,18.7,57,-10.7,-9.0,0,0.0,-16.3,0.5,236.0,1.8,1.1
2025-01-02 02:00:00,-9.7,18.7,54,-10.6,-9.2,0,0.0,-17.0,0.5,200.0,1.9,0.9
2025-01-02 03:00:00,-9.4,18.5,55,-9.9,-9.3,0,0.0,-16.3,0.6,163.0,2.1,1.1
2025-01-02 04:00:00,-9.6,18.6,53,-10.5,-9.2,0,0.0,-17.0,1.2,164.0,2.0,1.2
2025-01-02 05:00:00,-8.9,18.6,56,-10.5,-8.8,0,0.0,-16.3,1.7,161.0,3.5,2.1
2025-01-02 06:00:00,-8.5,18.5,57,-9.0,-8.5,0,0.0,-15.6,1.3,168.0,3.7,2.4
2025-01-02 07:00:00,-8.2,18.7,57,-8.7,-8.1,0,0.0,-15.0,1.3,173.0,2.4,1.6
2025-01-02 08:00:00,-8.9,18.8,84,-9.3,-7.9,47,0.0,-11.2,0.5,184.0,2.1,1.6
2025-01-02 09:00:00,-7.5,18.9,91,-9.1,-7.5,14,0.0,-8.5,1.3,326.0,3.1,1.3
2025-01-02 10:00:00,-8.2,18.9,89,-8.4,-7.5,5,0.0,-9.8,0.0,0.0,2.9,1.6
2025-01-02 11:00:00,-7.2,18.8,87,-8.2,-6.8,1,0.0,-8.9,2.8,335.0,4.9,2.9
2025-01-02 12:00:00,-6.8,18.9,89,-7.2,-6.6,15,0.0,-8.1,2.8,339.0,5.2,3.3
2025-01-02 13:00:00,-6.6,19.1,91,-6.8,-6.4,42,0.0,-7.8,2.8,338.0,5.1,2.8
2025-01-02 14:00:00,-6.6,19.0,88,-6.7,-6.4,22,0.0,-8.1,2.5,342.0,6.0,3.5
2025-01-02 15:00:00,-7.8,19.9,90,-7.8,-6.6,32,0.1,-8.9,1.6,336.0,5.6,3.5
2025-01-02 16:00:00,-7.3,20.0,84,-7.8,-7.3,10,0.0,-9.8,3.6,338.0,6.2,3.6
2025-01-02 17:00:00,-7.4,19.9,81,-7.5,-7.1,0,0.0,-10.2,4.2,323.0,8.8,6.1
2025-01-02 18:00:00,-7.5,19.6,85,-7.6,-7.0,12,0.0,-9.4,3.2,332.0,7.5,4.3
2025-01-02 19:00:00,-7.4,19.7,85,-7.9,-7.2,11,0.0,-9.4,1.2,345.0,4.2,3.1
2025-01-02 20:00:00,-7.4,19.7,87,-7.5,-7.1,11,0.0,-9.4,1.0,171.0,3.8,1.6
2025-01-02 21:00:00,-7.2,20.2,91,-7.7,-7.2,45,0.1,-8.1,0.6,84.0,5.0,2.2
2025-01-02 22:00:00,-7.3,27.6,92,-7.4,-7.2,60,2.8,-8.5,1.5,145.0,4.6,2.6
2025-01-02 23:00:00,-5.9,37.2,93,-7.3,-5.8,60,5.7,-7.0,3.4,123.0,5.5,3.5
2025-01-03 00:00:00,-6.2,35.3,94,-6.2,-4.8,60,0.1,-7.0,8.6,328.0,17.4,9.3
2025-01-03 01:00:00,-7.0,33.5,88,-7.0,-6.3,50,0.2,-8.5,4.8,324.0,10.6,8.2
2025-01-03 02:00:00,-7.8,32.9,72,-7.8,-6.9,33,0.0,-12.1,6.2,340.0,12.7,7.3
2025-01-03 03:00:00,-8.9,32.6,75,-9.2,-7.8,0,0.0,-12.7,4.3,328.0,9.6,6.5
2025-01-03 04:00:00,-9.6,32.5,77,-9.7,-9.0,0,0.0,-12.7,4.8,320.0,7.2,4.8
2025-01-03 05:00:00,-10.2,32.2,73,-10.3,-9.6,0,0.0,-14.4,4.6,326.0,8.7,6.1
2025-01-03 06:00:00,-10.2,32.2,66,-10.5,-9.9,0,0.0,-15.6,2.4,303.0,5.2,4.6
2025-01-03 07:00:00,-11.3,32.0,65,-11.3,-9.8,0,0.0,-16.3,1.2,283.0,5.4,3.0
2025-01-03 08:00:00,-9.2,31.9,70,-11.9,-9.2,0,0.0,-13.8,2.7,325.0,5.6,2.7
2025-01-03 09:00:00,-10.0,31.7,77,-11.3,-9.1,0,0.0,-13.2,1.2,177.0,5.0,3.3
2025-01-03 10:00:00,-10.0,31.3,77,-10.1,-9.0,0,0.0,-13.2,1.0,63.0,3.1,1.8
2025-01-03 11:00:00,-8.7,31.1,79,-10.4,-8.7,0,0.0,-11.6,1.6,182.0,2.5,1.6
2025-01-03 12:00:00,-7.6,30.8,79,-9.1,-7.6,5,0.1,-10.2,0.9,275.0,1.7,1.6
2025-01-03 13:00:00,-8.2,30.6,85,-8.2,-7.1,9,0.0,-10.2,0.9,302.0,3.8,2.2
2025-01-03 14:00:00,-8.9,30.5,89,-9.3,-8.2,0,0.0,-10.2,1.4,341.0,2.7,1.9
2025-01-03 15:00:00,-8.5,30.2,93,-8.9,-8.0,0,0.0,-9.4,1.9,310.0,2.7,1.9
2025-01-03 16:00:00,-9.0,30.0,93,-9.1,-8.0,0,0.0,-9.8,1.5,315.0,4.1,3.0
2025-01-03 17:00:00,-9.9,29.7,90,-10.7,-8.8,0,0.0,-11.2,0.9,184.0,3.1,1.9
2025-01-03 18:00:00,-9.0,29.5,93,-10.5,-9.0,0,0.0,-9.8,0.7,251.0,2.3,1.4
2025-01-03 19:00:00,-9.3,29.5,93,-10.4,-8.8,0,0.0,-10.2,0.3,245.0,2.3,1.7
2025-01-03 20:00:00,-9.9,29.2,93,-11.0,-9.3,0,0.0,-10.7,1.1,185.0,3.1,1.9
2025-01-03 21:00:00,-10.0,29.1,94,-10.7,-9.6,0,0.0,-10.7,1.4,162.0,3.0,2.1
2025-01-03 22:00:00,-10.5,29.0,92,-11.3,-9.7,0,0.0,-11.2,0.9,199.0,3.0,2.0
2025-01-03 23:00:00,-10.2,29.0,87,-11.6,-9.6,0,0.0,-12.1,1.7,203.0,2.7,1.9
2025-01-04 00:00:00,-9.2,28.9,90,-10.2,-9.1,0,0.0,-10.7,1.9,170.0,2.8,1.9
2025-01-04 01:00:00,-8.1,28.4,90,-9.2,-8.1,0,0.0,-9.4,1.7,167.0,3.2,2.6
2025-01-04 02:00:00,-7.4,28.6,91,-8.0,-7.4,42,0.0,-8.5,1.8,158.0,3.2,2.4
2025-01-04 03:00:00,-7.0,28.6,90,-7.3,-6.9,59,0.1,-8.5,1.6,155.0,3.0,1.9
2025-01-04 04:00:00,-6.7,29.1,91,-7.0,-6.6,54,0.1,-7.8,1.4,166.0,2.4,1.8
2025-01-04 05:00:00,-6.3,29.3,93,-6.7,-6.3,20,0.1,-7.4,1.2,159.0,2.6,1.8
2025-01-04 06:00:00,-6.0,29.1,93,-6.4,-6.0,32,0.0,-7.0,1.2,162.0,2.4,1.5
2025-01-04 07:00:00,-5.9,28.9,95,-6.2,-5.8,0,0.0,-6.7,1.3,122.0,2.3,1.8
2025-01-04 08:00:00,-5.7,29.2,93,-5.9,-5.7,55,0.1,-6.7,1.5,138.0,2.6,1.5
2025-01-04 09:00:00,-5.6,29.1,94,-5.7,-5.6,47,0.1,-6.3,0.8,170.0,3.1,1.8
2025-01-04 10:00:00,-5.3,29.7,93,-5.6,-5.2,58,0.3,-6.3,0.9,162.0,1.4,1.0
2025-01-04 11:00:00,-5.0,29.6,94,-5.3,-5.0,5,0.0,-6.0,1.0,156.0,2.5,1.5
2025-01-04 12:00:00,-4.9,29.6,95,-5.1,-4.9,36,0.0,-5.7,0.5,121.0,1.8,1.1
2025-01-04 13:00:00,-4.5,30.0,91,-4.9,-4.5,60,0.1,-5.7,0.4,164.0,1.7,0.9
2025-01-04 14:00:00,-5.0,29.8,94,-5.0,-4.5,30,0.1,-6.0,0.5,17.0,2.1,1.1
2025-01-04 15:00:00,-5.1,29.9,95,-5.1,-4.9,52,0.0,-5.7,0.4,341.0,1.3,0.5
2025-01-04 16:00:00,-5.5,29.9,93,-5.5,-5.1,11,0.0,-6.3,0.4,279.0,2.2,1.5
2025-01-04 17:00:00,-6.0,29.8,95,-6.1,-5.4,0,0.0,-6.7,0.0,0.0,1.8,0.5
2025-01-04 18:00:00,-6.3,29.7,94,-6.3,-5.9,0,0.0,-7.0,0.2,216.0,0.9,0.3
2025-01-04 19:00:00,-6.6,29.7,94,-6.9,-6.3,0,0.0,-7.4,1.1,172.0,2.6,1.6
2025-01-04 20:00:00,-6.0,29.7,93,-6.6,-5.9,11,0.0,-7.0,1.7,196.0,3.0,2.2
2025-01-04 21:00:00,-5.7,29.6,89,-6.0,-5.7,26,0.0,-7.0,1.9,185.0,2.9,1.9
2025-01-04 22:00:00,-5.6,29.6,87,-5.8,-5.6,53,0.0,-7.4,1.5,180.0,3.1,1.9
2025-01-04 23:00:00,-5.2,29.5,83,-5.6,-5.2,27,0.0,-7.4,2.4,149.0,4.6,2.9
2025-01-05 00:00:00,-5.0,29.6,81,-5.3,-5.0,13,0.0,-7.8,2.1,144.0,5.7,3.9
2025-01-05 01:00:00,-4.9,29.5,84,-5.0,-4.6,16,0.0,-7.4,2.4,147.0,5.0,2.9
2025-01-05 02:00:00,-4.5,29.6,82,-5.6,-4.5,48,0.2,-7.0,3.1,128.0,5.3,3.2
2025-01-05 03:00:00,-4.4,29.3,82,-4.5,-4.1,17,0.0,-7.0,5.8,105.0,8.8,5.9
2025-01-05 04:00:00,-4.2,29.5,83,-4.5,-4.2,48,0.0,-6.7,4.4,113.0,7.6,5.8
2025-01-05 05:00:00,-4.4,29.2,88,-4.4,-4.1,45,0.1,-6.0,2.7,128.0,7.8,4.9
2025-01-05 06:00:00,-4.3,30.7,91,-4.4,-4.1,60,0.5,-5.7,3.6,133.0,6.5,3.6
2025-01-05 07:00:00,-4.4,32.7,93,-4.4,-4.2,60,1.1,-5.3,3.1,133.0,6.9,4.4
2025-01-05 08:00:00,-4.1,34.9,93,-4.4,-4.1,60,1.3,-5.0,3.7,137.0,7.4,4.4
2025-01-05 09:00:00,-3.6,35.7,93,-4.1,-3.6,50,0.8,-4.4,3.0,168.0,7.0,4.4
2025-01-05 10:00:00,-2.6,35.3,84,-3.6,-2.6,14,0.0,-5.0,2.2,170.0,4.6,3.0
2025-01-05 11:00:00,-2.3,35.0,90,-2.7,-2.3,20,0.0,-3.5,1.9,162.0,3.9,2.7
2025-01-05 12:00:00,-2.2,35.0,92,-2.4,-2.2,50,0.4,-3.3,2.5,158.0,4.5,2.9
2025-01-05 13:00:00,-2.0,34.7,90,-2.3,-2.0,50,0.3,-3.3,2.1,159.0,4.7,2.9
2025-01-05 14:00:00,-1.9,34.7,87,-2.1,-1.9,44,0.1,-3.8,2.1,154.0,3.5,2.4
2025-01-05 15:00:00,-1.9,34.5,82,-1.9,-1.7,0,0.0,-4.7,1.7,159.0,3.9,2.2
2025-01-05 16:00:00,-1.7,34.5,80,-2.1,-1.6,0,0.0,-4.7,2.8,148.0,5.1,3.1
2025-01-05 17:00:00,-2.5,34.4,80,-2.5,-1.7,0,0.0,-5.3,3.2,145.0,4.9,3.2
2025-01-05 18:00:00,-1.9,34.3,79,-2.6,-1.8,0,0.0,-5.0,3.5,141.0,7.0,4.6
2025-01-05 19:00:00,-2.3,34.2,75,-2.3,-1.8,0,0.0,-6.0,6.0,117.0,8.3,6.0
2025-01-05 20:00:00,-2.4,34.1,73,-2.4,-2.2,0,0.0,-6.7,6.7,114.0,9.9,6.7
2025-01-05 21:00:00,-2.7,29.2,74,-2.8,-2.5,0,0.0,-6.7,6.5,120.0,12.5,8.7
2025-01-05 22:00:00,-2.5,27.6,72,-2.7,-2.4,0,0.0,-6.7,7.5,130.0,12.4,7.8
2025-01-05 23:00:00,-2.6,24.8,73,-2.7,-2.5,0,0.0,-6.7,7.7,127.0,12.7,8.4
2025-01-06 00:00:00,-2.3,23.6,70,-2.6,-2.3,0,0.0,-7.0,5.3,144.0,13.1,8.0
2025-01-06 01:00:00,-1.9,23.4,66,-2.3,-1.9,0,0.0,-7.4,5.8,123.0,12.2,5.9
2025-01-06 02:00:00,-2.3,23.1,72,-2.3,-1.8,0,0.0,-6.7,4.1,134.0,12.5,6.4
2025-01-06 03:00:00,-2.9,23.0,75,-2.9,-1.9,0,0.0,-6.7,5.5,128.0,12.1,5.5
2025-01-06 04:00:00,-3.0,21.5,75,-3.1,-2.9,0,0.0,-6.7,5.0,120.0,13.6,8.1
2025-01-06 05:00:00,-3.1,21.3,76,-3.1,-2.8,11,0.0,-6.7,4.9,129.0,12.5,5.6
2025-01-06 06:00:00,-3.4,20.6,78,-3.5,-3.0,28,0.0,-6.7,5.3,113.0,14.7,6.4
2025-01-06 07:00:00,-3.7,19.2,84,-3.8,-3.4,55,0.1,-6.0,8.7,130.0,17.7,8.9
2025-01-06 08:00:00,-4.0,18.6,84,-4.1,-3.6,57,0.0,-6.3,9.1,131.0,18.8,9.7
2025-01-06 09:00:00,-4.4,18.6,86,-4.4,-4.0,56,0.1,-6.3,13.6,134.0,25.9,14.0
2025-01-06 10:00:00,-4.6,18.6,86,-4.7,-4.4,60,0.2,-6.7,14.0,130.0,28.1,14.4
2025-01-06 11:00:00,-4.8,18.9,88,-4.9,-4.6,60,0.2,-6.3,14.3,129.0,26.6,15.7
2025-01-06 12:00:00,-4.8,18.3,86,-5.1,-4.7,60,0.0,-6.7,16.2,134.0,27.1,16.8
2025-01-06 13:00:00,-4.8,18.4,87,-4.8,-4.4,60,1.6,-6.7,14.1,132.0,28.1,16.7
2025-01-06 14:00:00,-5.0,18.3,88,-5.1,-4.7,60,0.0,-6.7,15.4,126.0,29.6,15.7
2025-01-06 15:00:00,-5.1,18.4,88,-5.2,-5.0,60,0.0,-6.7,14.4,131.0,26.5,15.5
