Dato;Starttid;Sluttid;Rode;Enhet;Varighet;Distanse (km)
21. des. 2022;12:09:08;12:19:47;Hyttegrenda;8810;0:11:18;3.4
21. des. 2022;12:09:08;12:19:47;Hyttegrenda;8894;0:10:48;3.4
21. des. 2022;12:10:16;12:19:47;Hyttegrenda;9389;0:09:33;2.4
22. des. 2022;09:46:05;13:15:43;Hyttegrenda;8810;2:58:27;19.3
22. des. 2022;11:03:24;13:43:52;Hyttegrenda;8894;2:27:52;8.1
23. des. 2022;08:03:21;14:21:13;Hyttegrenda;8894;4:33:44;22.4
26. des. 2022;16:44:23;18:34:06;Hyttegrenda;8894;1:45:09;17.6
27. des. 2022;07:42:43;13:16:00;Hyttegrenda;8810;5:15:21;28.8
27. des. 2022;17:51:40;18:12:31;Hyttegrenda;8894;0:20:47;6.1
28. des. 2022;05:26:46;13:45:55;Hyttegrenda;8894;1:33:03;18.9
29. des. 2022;05:50:32;07:21:41;Hyttegrenda;8810;1:30:12;9.8
30. des. 2022;12:07:58;16:50:47;Hyttegrenda;8810;3:56:50;16.4
30. des. 2022;09:19:50;16:56:24;Hyttegrenda;8894;6:06:38;28
1. jan. 2023;09:56:45;10:51:06;Hyttegrenda;8894;0:53:47;10.4
4. jan. 2023;07:15:06;23:59:58;Hyttegrenda;8810;4:13:55;22.6
5. jan. 2023;00:01:05;00:07:06;Hyttegrenda;8810;0:07:08;1.7
6. jan. 2023;05:22:56;14:39:45;Hyttegrenda;8810;7:15:21;29.5
6. jan. 2023;08:36:02;14:41:34;Hyttegrenda;8894;5:17:34;16.8
7. jan. 2023;09:34:30;12:17:05;Hyttegrenda;8894;2:26:56;13
8. jan. 2023;07:40:55;10:08:24;Hyttegrenda;8810;1:03:58;16.2
13. jan. 2023;06:57:50;08:15:08;Hyttegrenda;8810;1:13:41;21.8
13. jan. 2023;09:51:18;20:59:51;Hyttegrenda;8894;7:03:56;32.3
15. jan. 2023;06:33:03;08:37:19;Hyttegrenda;8894;1:54:45;17.7
17. jan. 2023;06:57:33;10:11:09;Hyttegrenda;8894;3:00:04;13.6
19. jan. 2023;16:59:14;19:11:25;Hyttegrenda;8894;2:03:33;13.5
