Operatør ID,Operatør,Totalt timer,Totalt arbeidstyper,Arbeidstyper per type,Ordrer per rode,Arbeidsøkt,Antall arbeidstyper i økt,Start dato,Start tid,Timer i økt
Q8etDtGV9OhFxBEqR3l8vNcKbRZ2,"Ukjent operatør",14.89,13,"skraping:1; stroing:11; veikontroll:1","1:3; 2:3; 3:3; 4:3; 5:3; 6:3; 7:3","stroing","1 arbeidstyper",27.2.2026,07:10,0.92
Q8etDtGV9OhFxBEqR3l8vNcKbRZ2,"Ukjent operatør",14.89,13,"skraping:1; stroing:11; veikontroll:1","1:3; 2:3; 3:3; 4:3; 5:3; 6:3; 7:3","stroing","1 arbeidstyper",26.2.2026,08:33,1.68
Q8etDtGV9OhFxBEqR3l8vNcKbRZ2,"Ukjent operatør",14.89,13,"skraping:1; stroing:11; veikontroll:1","1:3; 2:3; 3:3; 4:3; 5:3; 6:3; 7:3","stroing","1 arbeidstyper",23.1.2026,14:03,1.02
Q8etDtGV9OhFxBEqR3l8vNcKbRZ2,"Ukjent operatør",14.89,13,"skraping:1; stroing:11; veikontroll:1","1:3; 2:3; 3:3; 4:3; 5:3; 6:3; 7:3","stroing","1 arbeidstyper",22.1.2026,07:31,1.42
Q8etDtGV9OhFxBEqR3l8vNcKbRZ2,"Ukjent operatør",14.89,13,"skraping:1; stroing:11; veikontroll:1","1:3; 2:3; 3:3; 4:3; 5:3; 6:3; 7:3","stroing","1 arbeidstyper",20.1.2026,16:27,1.50
Q8etDtGV9OhFxBEqR3l8vNcKbRZ2,"Ukjent operatør",14.89,13,"skraping:1; stroing:11; veikontroll:1","1:3; 2:3; 3:3; 4:3; 5:3; 6:3; 7:3","stroing","1 arbeidstyper",18.1.2026,09:38,1.87
Q8etDtGV9OhFxBEqR3l8vNcKbRZ2,"Ukjent operatør",14.89,13,"skraping:1; stroing:11; veikontroll:1","1:3; 2:3; 3:3; 4:3; 5:3; 6:3; 7:3","stroing","1 arbeidstyper",17.1.2026,10:18,1.20
Q8etDtGV9OhFxBEqR3l8vNcKbRZ2,"Ukjent operatør",14.89,13,"skraping:1; stroing:11; veikontroll:1","1:3; 2:3; 3:3; 4:3; 5:3; 6:3; 7:3","skraping","1 arbeidstyper",13.1.2026,12:58,1.05
Q8etDtGV9OhFxBEqR3l8vNcKbRZ2,"Ukjent operatør",14.89,13,"skraping:1; stroing:11; veikontroll:1","1:3; 2:3; 3:3; 4:3; 5:3; 6:3; 7:3","stroing","1 arbeidstyper",27.11.2025,10:26,1.35
Q8etDtGV9OhFxBEqR3l8vNcKbRZ2,"Ukjent operatør",14.89,13,"skraping:1; stroing:11; veikontroll:1","1:3; 2:3; 3:3; 4:3; 5:3; 6:3; 7:3","stroing","1 arbeidstyper",27.11.2025,08:46,0.69
Q8etDtGV9OhFxBEqR3l8vNcKbRZ2,"Ukjent operatør",14.89,13,"skraping:1; stroing:11; veikontroll:1","1:3; 2:3; 3:3; 4:3; 5:3; 6:3; 7:3","stroing","1 arbeidstyper",23.11.2025,09:25,1.42
Q8etDtGV9OhFxBEqR3l8vNcKbRZ2,"Ukjent operatør",14.89,13,"skraping:1; stroing:11; veikontroll:1","1:3; 2:3; 3:3; 4:3; 5:3; 6:3; 7:3","stroing","1 arbeidstyper",22.11.2025,12:54,0.78
Q8etDtGV9OhFxBEqR3l8vNcKbRZ2,"Ukjent operatør",14.89,13,"skraping:1; stroing:11; veikontroll:1","1:3; 2:3; 3:3; 4:3; 5:3; 6:3; 7:3","veikontroll","1 arbeidstyper",17.11.2025,04:50,0.01
e71Lp465bCcntCtecsq94dldvz13,"Ukjent operatør",72.69,29,"fresing:7; skraping:13; stroing:1; tunbroyting:5; veikontroll:3","1:1; 2:1; 3:1; 4:1; 5:1; 6:1; 7:1","veikontroll, skraping","2 arbeidstyper",26.2.2026,07:20,3.37
e71Lp465bCcntCtecsq94dldvz13,"Ukjent operatør",72.69,29,"fresing:7; skraping:13; stroing:1; tunbroyting:5; veikontroll:3","1:1; 2:1; 3:1; 4:1; 5:1; 6:1; 7:1","fresing","1 arbeidstyper",24.2.2026,12:39,0.80
e71Lp465bCcntCtecsq94dldvz13,"Ukjent operatør",72.69,29,"fresing:7; skraping:13; stroing:1; tunbroyting:5; veikontroll:3","1:1; 2:1; 3:1; 4:1; 5:1; 6:1; 7:1","fresing, tunbroyting","2 arbeidstyper",23.2.2026,05:50,5.12
e71Lp465bCcntCtecsq94dldvz13,"Ukjent operatør",72.69,29,"fresing:7; skraping:13; stroing:1; tunbroyting:5; veikontroll:3","1:1; 2:1; 3:1; 4:1; 5:1; 6:1; 7:1","fresing","1 arbeidstyper",21.2.2026,07:08,5.27
e71Lp465bCcntCtecsq94dldvz13,"Ukjent operatør",72.69,29,"fresing:7; skraping:13; stroing:1; tunbroyting:5; veikontroll:3","1:1; 2:1; 3:1; 4:1; 5:1; 6:1; 7:1","tunbroyting, fresing","2 arbeidstyper",20.2.2026,08:11,4.48
e71Lp465bCcntCtecsq94dldvz13,"Ukjent operatør",72.69,29,"fresing:7; skraping:13; stroing:1; tunbroyting:5; veikontroll:3","1:1; 2:1; 3:1; 4:1; 5:1; 6:1; 7:1","skraping","1 arbeidstyper",18.2.2026,13:23,5.10
e71Lp465bCcntCtecsq94dldvz13,"Ukjent operatør",72.69,29,"fresing:7; skraping:13; stroing:1; tunbroyting:5; veikontroll:3","1:1; 2:1; 3:1; 4:1; 5:1; 6:1; 7:1","skraping","1 arbeidstyper",17.2.2026,07:04,1.47
e71Lp465bCcntCtecsq94dldvz13,"Ukjent operatør",72.69,29,"fresing:7; skraping:13; stroing:1; tunbroyting:5; veikontroll:3","1:1; 2:1; 3:1; 4:1; 5:1; 6:1; 7:1","skraping, veikontroll","2 arbeidstyper",16.2.2026,12:29,0.88
e71Lp465bCcntCtecsq94dldvz13,"Ukjent operatør",72.69,29,"fresing:7; skraping:13; stroing:1; tunbroyting:5; veikontroll:3","1:1; 2:1; 3:1; 4:1; 5:1; 6:1; 7:1","skraping, stroing, veikontroll","3 arbeidstyper",16.2.2026,07:13,1.33
e71Lp465bCcntCtecsq94dldvz13,"Ukjent operatør",72.69,29,"fresing:7; skraping:13; stroing:1; tunbroyting:5; veikontroll:3","1:1; 2:1; 3:1; 4:1; 5:1; 6:1; 7:1","skraping","1 arbeidstyper",14.2.2026,13:19,4.00
e71Lp465bCcntCtecsq94dldvz13,"Ukjent operatør",72.69,29,"fresing:7; skraping:13; stroing:1; tunbroyting:5; veikontroll:3","1:1; 2:1; 3:1; 4:1; 5:1; 6:1; 7:1","skraping","1 arbeidstyper",14.2.2026,10:44,1.12
