dato,datetime,air_temp_avg,air_temp_min,surface_temp_avg,surface_temp_min,temp_diff,wind_avg,wind_max,gust_max,precip_total,precip_duration,snow_depth,snow_change,humidity_avg,dew_point_avg,scenario
21. des. 2022,2022-12-21 12:09:00,1.05,0.7,0.08333333333333333,0.0,0.9666666666666667,1.4166666666666667,2.4,5.9,3.2,157.0,-0.08333333333333333,5.5,94.83333333333333,0.06666666666666668,ANNET
21. des. 2022,2022-12-21 12:09:00,1.05,0.7,0.08333333333333333,0.0,0.9666666666666667,1.4166666666666667,2.4,5.9,3.2,157.0,-0.08333333333333333,5.5,94.83333333333333,0.06666666666666668,ANNET
21. des. 2022,2022-12-21 12:10:00,1.05,0.7,0.08333333333333333,0.0,0.9666666666666667,1.4166666666666667,2.4,5.9,3.2,157.0,-0.08333333333333333,5.5,94.83333333333333,0.06666666666666668,ANNET
22. des. 2022,2022-12-22 09:46:00,0.7000000000000001,0.5,0.016666666666666666,0.0,0.6833333333333333,1.7833333333333332,2.8,4.9,6.2,331.0,7.8,0.39999999999999947,96.83333333333333,0.03333333333333333,SLAPS
22. des. 2022,2022-12-22 11:03:00,0.6666666666666666,0.3,0.016666666666666666,0.0,0.6499999999999999,1.3,1.7,3.1,5.4,337.0,7.866666666666667,0.0,97.0,0.0,SLAPS
23. des. 2022,2022-12-23 08:03:00,-4.716666666666666,-5.5,-10.6,-12.1,5.883333333333334,0.7166666666666667,1.4,2.3,0.0,0.0,9.016666666666666,0.3999999999999986,89.83333333333333,-6.983333333333333,ANNET
26. des. 2022,2022-12-26 16:44:00,-0.36666666666666664,-1.9,-1.6500000000000001,-3.1,1.2833333333333334,0.3833333333333333,1.7,8.5,7.3,281.0,10.899999999999999,8.700000000000001,95.0,-2.033333333333333,NYSNØ
27. des. 2022,2022-12-27 07:42:00,-1.75,-2.4,-2.933333333333333,-5.2,1.1833333333333331,4.783333333333334,7.1,14.2,4.1,307.0,18.900000000000002,1.6999999999999993,91.0,-3.5,NYSNØ
27. des. 2022,2022-12-27 17:51:00,-3.1833333333333336,-3.5,-5.366666666666666,-7.0,2.1833333333333327,1.75,2.6,10.1,1.8000000000000005,192.0,20.75,0.0,91.5,-4.8,ANNET
28. des. 2022,2022-12-28 05:26:00,-2.433333333333333,-3.2,-4.366666666666666,-5.3,1.9333333333333331,8.766666666666667,10.1,19.3,0.0,0.0,16.766666666666666,-6.700000000000001,70.66666666666667,-7.383333333333333,SNØFOKK
29. des. 2022,2022-12-29 05:50:00,0.4166666666666667,-1.1,-1.2666666666666666,-2.6,1.6833333333333333,7.333333333333333,11.6,19.2,0.2,36.0,5.683333333333334,-1.1000000000000005,77.16666666666667,-3.4333333333333336,FRYSEFARE
30. des. 2022,2022-12-30 12:07:00,-0.65,-1.1,-2.5166666666666666,-3.9,1.8666666666666667,0.9500000000000001,5.7,12.6,0.3,36.0,19.333333333333332,0.5,92.83333333333333,-1.7999999999999998,ANNET
30. des. 2022,2022-12-30 09:19:00,-0.5166666666666666,-0.8,-2.6,-3.9,2.0833333333333335,0.0,0.0,0.0,0.8999999999999999,99.0,19.75,-1.2999999999999972,95.66666666666667,-1.3333333333333333,ANNET
1. jan. 2023,2023-01-01 09:56:00,-4.55,-5.8,-11.683333333333332,-14.0,7.133333333333332,2.0,5.1,9.5,0.0,0.0,23.783333333333335,-0.5,70.33333333333333,-9.766666666666667,ANNET
4. jan. 2023,2023-01-04 07:15:00,-0.4166666666666667,-1.2,-1.7666666666666664,-2.2,1.3499999999999996,11.950000000000001,15.5,25.8,0.30000000000000004,198.0,18.916666666666668,-5.699999999999999,82.33333333333333,-3.5500000000000003,ANNET
5. jan. 2023,2023-01-05 00:01:00,-2.8333333333333335,-3.5,-4.4,-4.7,1.5666666666666669,5.7,8.9,18.9,0.0,0.0,15.283333333333333,-0.20000000000000107,67.5,-8.433333333333334,ANNET
6. jan. 2023,2023-01-06 05:22:00,-1.8,-2.6,-3.0500000000000003,-3.8,1.2500000000000002,9.9,12.1,21.8,0.2,37.0,15.216666666666667,0.0,80.33333333333333,-4.966666666666666,SNØFOKK
6. jan. 2023,2023-01-06 08:36:00,-1.1833333333333333,-1.5,-2.3666666666666667,-2.6,1.1833333333333333,10.450000000000001,12.3,21.8,0.3,30.0,15.149999999999999,-0.09999999999999964,81.66666666666667,-4.166666666666667,SNØFOKK
7. jan. 2023,2023-01-07 09:34:00,2.1666666666666665,1.6,0.18333333333333335,-0.6,1.9833333333333332,3.3333333333333335,5.0,8.2,0.0,7.0,20.766666666666666,-0.1999999999999993,85.0,-0.15,ANNET
8. jan. 2023,2023-01-08 07:40:00,3.8666666666666667,1.9,0.5166666666666667,0.1,3.35,4.433333333333334,6.3,11.9,8.2,128.0,14.533333333333333,-0.6999999999999993,83.16666666666667,0.5166666666666667,SLAPS
