referenceTime,air_temperature,wind_speed,wind_from_direction,surface_snow_thickness,sum(precipitation_amount PT1H),relative_humidity,surface_temperature,dew_point_temperature,snow_change_1h,snow_change_3h,snow_change_6h,fresh_snow_1h,snow_transport_1h,fresh_snow_6h,snow_loss_6h,snow_dynamics_factor,consec_wind_ge5,consec_wind_ge6,consec_wind_ge7,wind_persistent_3h,high_risk_sector,wind_sector,temp_above_zero_last_24h,continuous_frost_12h,loose_snow_gate,precip_mm_h,last_6h_precip,risk_level,factors,risk_slippery,factors_slippery
2024-01-01 00:00:00+00:00,-3.1,10.6,172.0,38,0.0,65.0,-4.9,-8.5,,,,0,0,0,0,1.0,1,1,1,0,0,S,0.0,0.0,1,0.0,0.0,medium,"['Vind 10.6 m/s (terskel: 7.0)', 'Temperatur -3.1°C', 'Snødybde 38 cm']",low,['Ingen risikofaktorer']
2024-01-01 00:10:00+00:00,-3.1,,,38,,,-4.8,,0.0,,,0,0,0,0,1.0,1,1,1,0,0,unknown,0.0,0.0,1,0.0,0.0,unknown,['Mangler vind/temperatur data'],low,['Ingen risikofaktorer']
2024-01-01 00:20:00+00:00,-3.0,,,38,,,-4.9,,0.0,,,0,0,0,0,1.0,1,1,1,0,0,unknown,0.0,0.0,1,0.0,0.0,unknown,['Mangler vind/temperatur data'],low,['Ingen risikofaktorer']
2024-01-01 00:30:00+00:00,-3.2,,,38,,,-5.0,,0.0,0.0,,0,0,0,0,1.0,1,1,1,0,0,unknown,0.0,0.0,1,0.0,0.0,unknown,['Mangler vind/temperatur data'],low,['Ingen risikofaktorer']
2024-01-01 00:40:00+00:00,-3.4,,,38,,,-5.2,,0.0,0.0,,0,0,0,0,1.0,1,1,1,0,0,unknown,0.0,0.0,1,0.0,0.0,unknown,['Mangler vind/temperatur data'],low,['Ingen risikofaktorer']
2024-01-01 00:50:00+00:00,-3.7,,,38,,,-5.3,,0.0,0.0,,0,0,0,0,1.0,1,1,1,0,0,unknown,0.0,1.0,1,0.0,0.0,unknown,['Mangler vind/temperatur data'],low,['Ingen risikofaktorer']
2024-01-01 01:00:00+00:00,-3.7,3.6,152.0,38,0.0,67.0,-5.4,-8.9,0.0,0.0,0.0,0,0,0,0,1.0,0,0,0,0,0,S,0.0,1.0,1,0.0,0.0,low,"['Grunnkriterier ikke oppfylt (vind: 3.6, temp: -3.7, snø: 38)']",low,['Ingen risikofaktorer']
2024-01-01 01:10:00+00:00,-3.7,,,38,,,-5.3,,0.0,0.0,0.0,0,0,0,0,1.0,0,0,0,0,0,unknown,0.0,1.0,1,0.0,0.0,unknown,['Mangler vind/temperatur data'],low,['Ingen risikofaktorer']
2024-01-01 01:20:00+00:00,-3.8,,,38,,,-5.4,,0.0,0.0,0.0,0,0,0,0,1.0,0,0,0,0,0,unknown,0.0,1.0,1,0.0,0.0,unknown,['Mangler vind/temperatur data'],low,['Ingen risikofaktorer']
2024-01-01 01:30:00+00:00,-3.7,,,38,,,-5.3,,0.0,0.0,0.0,0,0,0,0,1.0,0,0,0,0,0,unknown,0.0,1.0,1,0.0,0.0,unknown,['Mangler vind/temperatur data'],low,['Ingen risikofaktorer']
