maintenance_date,start_datetime,end_datetime,duration_hours,distance_km,maintenance_type,equipment,weather_analysis,temp_min,temp_max,temp_mean,around_freezing,precip_total,precip_max_hourly,rain_on_snow,snow_depth_cm,snow_present,wind_max,strong_wind,weather_scenarios,snowdrift_risk,season_period,likely_salt_quality,likely_maintenance_purpose,weekly_snow_context,is_friday_clearing
21. des. 2022,2022-12-21 12:09:08,2022-12-21 12:19:47,0.18833333333333332,3.4,light_treatment,8810.0,"{'status': 'success', 'window_hours': 12, 'observations_count': 144, 'time_range': {'start': Timestamp('2022-12-21 00:10:00+0000', tz='UTC'), 'end': Timestamp('2022-12-22 00:00:00+0000', tz='UTC')}, 'temperature': {'min': np.float64(0.1), 'max': np.float64(1.7), 'mean': np.float64(0.8208333333333333), 'around_freezing': np.True_}, 'precipitation': {'total': np.float64(15.999999999999998), 'max_hourly': np.float64(2.0), 'hours_with_precip': np.int64(20), 'rain_on_snow': False}, 'wind': {'max': np.float64(2.4), 'mean': np.float64(1.3291666666666668), 'strong_wind': np.False_, 'extreme_wind': np.False_}, 'snow': {'depth_cm': np.float64(259.72222222222223), 'min_depth_cm': np.float64(-100.0), 'max_depth_cm': np.float64(800.0), 'snow_present': np.True_, 'snow_change': np.float64(9.0)}, 'weather_scenarios': []}",0.1,1.7,0.8208333333333333,True,15.999999999999998,2.0,False,259.72222222222223,True,2.4,False,,unknown,limited_salt_period,begrenset,akutt_slush_eller_tining,,False
21. des. 2022,2022-12-21 12:09:08,2022-12-21 12:19:47,0.18,3.4,light_treatment,8894.0,"{'status': 'success', 'window_hours': 12, 'observations_count': 144, 'time_range': {'start': Timestamp('2022-12-21 00:10:00+0000', tz='UTC'), 'end': Timestamp('2022-12-22 00:00:00+0000', tz='UTC')}, 'temperature': {'min': np.float64(0.1), 'max': np.float64(1.7), 'mean': np.float64(0.8208333333333333), 'around_freezing': np.True_}, 'precipitation': {'total': np.float64(15.999999999999998), 'max_hourly': np.float64(2.0), 'hours_with_precip': np.int64(20), 'rain_on_snow': False}, 'wind': {'max': np.float64(2.4), 'mean': np.float64(1.3291666666666668), 'strong_wind': np.False_, 'extreme_wind': np.False_}, 'snow': {'depth_cm': np.float64(259.72222222222223), 'min_depth_cm': np.float64(-100.0), 'max_depth_cm': np.float64(800.0), 'snow_present': np.True_, 'snow_change': np.float64(9.0)}, 'weather_scenarios': []}",0.1,1.7,0.8208333333333333,True,15.999999999999998,2.0,False,259.72222222222223,True,2.4,False,,unknown,limited_salt_period,begrenset,akutt_slush_eller_tining,,False
21. des. 2022,2022-12-21 12:10:16,2022-12-21 12:19:47,0.15916666666666665,2.4,light_treatment,9389.0,"{'status': 'success', 'window_hours': 12, 'observations_count': 144, 'time_range': {'start': Timestamp('2022-12-21 00:20:00+0000', tz='UTC'), 'end': Timestamp('2022-12-22 00:10:00+0000', tz='UTC')}, 'temperature': {'min': np.float64(0.1), 'max': np.float64(1.7), 'mean': np.float64(0.8208333333333333), 'around_freezing': np.True_}, 'precipitation': {'total': np.float64(15.999999999999998), 'max_hourly': np.float64(2.0), 'hours_with_precip': np.int64(20), 'rain_on_snow': False}, 'wind': {'max': np.float64(2.4), 'mean': np.float64(1.3291666666666668), 'strong_wind': np.False_, 'extreme_wind': np.False_}, 'snow': {'depth_cm': np.float64(265.97222222222223), 'min_depth_cm': np.float64(-100.0), 'max_depth_cm': np.float64(800.0), 'snow_present': np.True_, 'snow_change': np.float64(9.0)}, 'weather_scenarios': []}",0.1,1.7,0.8208333333333333,True,15.999999999999998,2.0,False,265.97222222222223,True,2.4,False,,unknown,limited_salt_period,begrenset,akutt_slush_eller_tining,,False
22. des. 2022,2022-12-22 09:46:05,2022-12-22 13:15:43,2.9741666666666666,19.3,medium_treatment,8810.0,"{'status': 'success', 'window_hours': 12, 'observations_count': 144, 'time_range': {'start': Timestamp('2022-12-21 21:50:00+0000', tz='UTC'), 'end': Timestamp('2022-12-22 21:40:00+0000', tz='UTC')}, 'temperature': {'min': np.float64(-1.1), 'max': np.float64(1.0), 'mean': np.float64(0.18333333333333332), 'around_freezing': np.True_}, 'precipitation': {'total': np.float64(14.500000000000002), 'max_hourly': np.float64(1.5), 'hours_with_precip': np.int64(16), 'rain_on_snow': False}, 'wind': {'max': np.float64(2.8), 'mean': np.float64(1.1624999999999999), 'strong_wind': np.False_, 'extreme_wind': np.False_}, 'snow': {'depth_cm': np.float64(802.0833333333334), 'min_depth_cm': np.int64(700), 'max_depth_cm': np.int64(900), 'snow_present': np.True_, 'snow_change': np.int64(2)}, 'weather_scenarios': []}",-1.1,1.0,0.18333333333333332,True,14.500000000000002,1.5,False,802.0833333333334,True,2.8,False,,unknown,limited_salt_period,begrenset,akutt_slush_eller_tining,,False
22. des. 2022,2022-12-22 11:03:24,2022-12-22 13:43:52,2.4644444444444447,8.1,medium_treatment,8894.0,"{'status': 'success', 'window_hours': 12, 'observations_count': 144, 'time_range': {'start': Timestamp('2022-12-21 23:10:00+0000', tz='UTC'), 'end': Timestamp('2022-12-22 23:00:00+0000', tz='UTC')}, 'temperature': {'min': np.float64(-1.6), 'max': np.float64(1.0), 'mean': np.float64(0.016666666666666663), 'around_freezing': np.True_}, 'precipitation': {'total': np.float64(13.8), 'max_hourly': np.float64(1.5), 'hours_with_precip': np.int64(15), 'rain_on_snow': False}, 'wind': {'max': np.float64(2.8), 'mean': np.float64(1.3458333333333332), 'strong_wind': np.False_, 'extreme_wind': np.False_}, 'snow': {'depth_cm': np.float64(807.6388888888889), 'min_depth_cm': np.int64(700), 'max_depth_cm': np.int64(900), 'snow_present': np.True_, 'snow_change': np.int64(2)}, 'weather_scenarios': []}",-1.6,1.0,0.016666666666666663,True,13.8,1.5,False,807.6388888888889,True,2.8,False,,unknown,limited_salt_period,begrenset,akutt_slush_eller_tining,,False
23. des. 2022,2022-12-23 08:03:21,2022-12-23 14:21:13,4.562222222222222,22.4,medium_treatment,8894.0,"{'status': 'success', 'window_hours': 12, 'observations_count': 144, 'time_range': {'start': Timestamp('2022-12-22 20:10:00+0000', tz='UTC'), 'end': Timestamp('2022-12-23 20:00:00+0000', tz='UTC')}, 'temperature': {'min': np.float64(-8.6), 'max': np.float64(-1.1), 'mean': np.float64(-5.504166666666666), 'around_freezing': np.True_}, 'precipitation': {'total': np.float64(0.1), 'max_hourly': np.float64(0.1), 'hours_with_precip': np.int64(0), 'rain_on_snow': False}, 'wind': {'max': np.float64(2.4), 'mean': np.float64(0.8083333333333332), 'strong_wind': np.False_, 'extreme_wind': np.False_}, 'snow': {'depth_cm': np.float64(900.0), 'min_depth_cm': np.int64(900), 'max_depth_cm': np.int64(900), 'snow_present': np.True_, 'snow_change': np.int64(0)}, 'weather_scenarios': []}",-8.6,-1.1,-5.504166666666666,True,0.1,0.1,False,900.0,True,2.4,False,,unknown,limited_salt_period,begrenset,tunbrøyting_ukentlig_snø,62.1mm i 6 dager,True
26. des. 2022,2022-12-26 16:44:23,2022-12-26 18:34:06,1.7525,17.6,medium_treatment,8894.0,"{'status': 'success', 'window_hours': 12, 'observations_count': 144, 'time_range': {'start': Timestamp('2022-12-26 04:50:00+0000', tz='UTC'), 'end': Timestamp('2022-12-27 04:40:00+0000', tz='UTC')}, 'temperature': {'min': np.float64(-2.2), 'max': np.float64(3.2), 'mean': np.float64(-0.1416666666666667), 'around_freezing': np.True_}, 'precipitation': {'total': np.float64(21.1), 'max_hourly': np.float64(2.3), 'hours_with_precip': np.int64(21), 'rain_on_snow': False}, 'wind': {'max': np.float64(7.1), 'mean': np.float64(1.3125), 'strong_wind': np.True_, 'extreme_wind': np.False_}, 'snow': {'depth_cm': np.float64(1256.9444444444446), 'min_depth_cm': np.int64(400), 'max_depth_cm': np.int64(1900), 'snow_present': np.True_, 'snow_change': np.int64(15)}, 'weather_scenarios': []}",-2.2,3.2,-0.1416666666666667,True,21.1,2.3,False,1256.9444444444446,True,7.1,True,,unknown,limited_salt_period,begrenset,standard_vinterdrift,,False
27. des. 2022,2022-12-27 07:42:43,2022-12-27 13:16:00,5.255833333333333,28.8,heavy_treatment,8810.0,"{'status': 'success', 'window_hours': 12, 'observations_count': 144, 'time_range': {'start': Timestamp('2022-12-26 19:50:00+0000', tz='UTC'), 'end': Timestamp('2022-12-27 19:40:00+0000', tz='UTC')}, 'temperature': {'min': np.float64(-5.2), 'max': np.float64(-0.3), 'mean': np.float64(-2.5625), 'around_freezing': np.True_}, 'precipitation': {'total': np.float64(14.899999999999999), 'max_hourly': np.float64(2.3), 'hours_with_precip': np.int64(16), 'rain_on_snow': False}, 'wind': {'max': np.float64(7.1), 'mean': np.float64(2.3166666666666664), 'strong_wind': np.True_, 'extreme_wind': np.False_}, 'snow': {'depth_cm': np.float64(1930.5555555555557), 'min_depth_cm': np.int64(1600), 'max_depth_cm': np.int64(2100), 'snow_present': np.True_, 'snow_change': np.int64(5)}, 'weather_scenarios': []}",-5.2,-0.3,-2.5625,True,14.899999999999999,2.3,False,1930.5555555555557,True,7.1,True,,unknown,limited_salt_period,begrenset,standard_vinterdrift,,False
27. des. 2022,2022-12-27 17:51:40,2022-12-27 18:12:31,0.34638888888888886,6.1,light_treatment,8894.0,"{'status': 'success', 'window_hours': 12, 'observations_count': 144, 'time_range': {'start': Timestamp('2022-12-27 06:00:00+0000', tz='UTC'), 'end': Timestamp('2022-12-28 05:50:00+0000', tz='UTC')}, 'temperature': {'min': np.float64(-5.4), 'max': np.float64(-2.0), 'mean': np.float64(-3.5708333333333333), 'around_freezing': np.True_}, 'precipitation': {'total': np.float64(4.800000000000001), 'max_hourly': np.float64(1.5), 'hours_with_precip': np.int64(6), 'rain_on_snow': False}, 'wind': {'max': np.float64(10.1), 'mean': np.float64(4.195833333333333), 'strong_wind': np.True_, 'extreme_wind': np.True_}, 'snow': {'depth_cm': np.float64(1927.0833333333333), 'min_depth_cm': np.int64(900), 'max_depth_cm': np.int64(2100), 'snow_present': np.True_, 'snow_change': np.int64(12)}, 'weather_scenarios': []}",-5.4,-2.0,-3.5708333333333333,True,4.800000000000001,1.5,False,1927.0833333333333,True,10.1,True,,unknown,limited_salt_period,begrenset,standard_vinterdrift,,False
28. des. 2022,2022-12-28 05:26:46,2022-12-28 13:45:55,1.5508333333333333,18.9,medium_treatment,8894.0,"{'status': 'success', 'window_hours': 12, 'observations_count': 144, 'time_range': {'start': Timestamp('2022-12-27 17:30:00+0000', tz='UTC'), 'end': Timestamp('2022-12-28 17:20:00+0000', tz='UTC')}, 'temperature': {'min': np.float64(-5.4), 'max': np.float64(-1.4), 'mean': np.float64(-3.1666666666666665), 'around_freezing': np.True_}, 'precipitation': {'total': np.float64(0.0), 'max_hourly': np.float64(0.0), 'hours_with_precip': np.int64(0), 'rain_on_snow': False}, 'wind': {'max': np.float64(10.6), 'mean': np.float64(6.941666666666667), 'strong_wind': np.True_, 'extreme_wind': np.True_}, 'snow': {'depth_cm': np.float64(1410.4166666666665), 'min_depth_cm': np.int64(900), 'max_depth_cm': np.int64(2100), 'snow_present': np.True_, 'snow_change': np.int64(12)}, 'weather_scenarios': []}",-5.4,-1.4,-3.1666666666666665,True,0.0,0.0,False,1410.4166666666665,True,10.6,True,,unknown,limited_salt_period,begrenset,standard_vinterdrift,,False
