maintenance_date,start_datetime,end_datetime,duration_hours,distance_km,maintenance_type,equipment,weather_analysis,temp_min,temp_max,temp_mean,around_freezing,precip_total,precip_max_hourly,rain_on_snow,snow_depth_cm,snow_present,wind_max,strong_wind,weather_scenarios,snowdrift_risk,season_period,likely_salt_quality,snow_response_classification,likely_maintenance_purpose,maintenance_criteria,weekly_snow_context,is_friday_clearing
21. des. 2022,2022-12-21 12:09:08,2022-12-21 12:19:47,0.18833333333333332,3.4,light_treatment,8810.0,"{'status': 'success', 'window_hours': 18, 'observations_count': 180, 'time_range': {'start': Timestamp('2022-12-20 18:10:00+0000', tz='UTC'), 'end': Timestamp('2022-12-22 00:00:00+0000', tz='UTC')}, 'temperature': {'min': np.float64(0.1), 'max': np.float64(2.2), 'mean': np.float64(0.9966666666666666), 'around_freezing': np.True_}, 'precipitation': {'total': np.float64(20.800000000000004), 'max_hourly': np.float64(2.0), 'hours_with_precip': np.int64(24), 'rain_on_snow': False}, 'wind': {'max': np.float64(2.4), 'mean': np.float64(1.2966666666666666), 'strong_wind': np.False_, 'extreme_wind': np.False_}, 'snow': {'depth_cm': np.float64(187.77777777777777), 'min_depth_cm': np.float64(-100.0), 'max_depth_cm': np.float64(800.0), 'snow_present': np.True_, 'snow_change': np.float64(9.0)}, 'weather_scenarios': ['rain_on_snow', 'slush_conditions']}",0.1,2.2,0.9966666666666666,True,20.800000000000004,2.0,False,187.77777777777777,True,2.4,False,"rain_on_snow,slush_conditions",unknown,insufficient_salt_period,for_lite,unknown,akutt_slush_fjerning,slush_scraping,,False
21. des. 2022,2022-12-21 12:09:08,2022-12-21 12:19:47,0.18,3.4,light_treatment,8894.0,"{'status': 'success', 'window_hours': 18, 'observations_count': 180, 'time_range': {'start': Timestamp('2022-12-20 18:10:00+0000', tz='UTC'), 'end': Timestamp('2022-12-22 00:00:00+0000', tz='UTC')}, 'temperature': {'min': np.float64(0.1), 'max': np.float64(2.2), 'mean': np.float64(0.9966666666666666), 'around_freezing': np.True_}, 'precipitation': {'total': np.float64(20.800000000000004), 'max_hourly': np.float64(2.0), 'hours_with_precip': np.int64(24), 'rain_on_snow': False}, 'wind': {'max': np.float64(2.4), 'mean': np.float64(1.2966666666666666), 'strong_wind': np.False_, 'extreme_wind': np.False_}, 'snow': {'depth_cm': np.float64(187.77777777777777), 'min_depth_cm': np.float64(-100.0), 'max_depth_cm': np.float64(800.0), 'snow_present': np.True_, 'snow_change': np.float64(9.0)}, 'weather_scenarios': ['rain_on_snow', 'slush_conditions']}",0.1,2.2,0.9966666666666666,True,20.800000000000004,2.0,False,187.77777777777777,True,2.4,False,"rain_on_snow,slush_conditions",unknown,insufficient_salt_period,for_lite,unknown,akutt_slush_fjerning,slush_scraping,,False
21. des. 2022,2022-12-21 12:10:16,2022-12-21 12:19:47,0.15916666666666665,2.4,light_treatment,9389.0,"{'status': 'success', 'window_hours': 18, 'observations_count': 180, 'time_range': {'start': Timestamp('2022-12-20 18:20:00+0000', tz='UTC'), 'end': Timestamp('2022-12-22 00:10:00+0000', tz='UTC')}, 'temperature': {'min': np.float64(0.1), 'max': np.float64(2.2), 'mean': np.float64(0.9966666666666666), 'around_freezing': np.True_}, 'precipitation': {'total': np.float64(20.800000000000004), 'max_hourly': np.float64(2.0), 'hours_with_precip': np.int64(24), 'rain_on_snow': False}, 'wind': {'max': np.float64(2.4), 'mean': np.float64(1.2966666666666666), 'strong_wind': np.False_, 'extreme_wind': np.False_}, 'snow': {'depth_cm': np.float64(192.77777777777777), 'min_depth_cm': np.float64(-100.0), 'max_depth_cm': np.float64(800.0), 'snow_present': np.True_, 'snow_change': np.float64(9.0)}, 'weather_scenarios': ['rain_on_snow', 'slush_conditions']}",0.1,2.2,0.9966666666666666,True,20.800000000000004,2.0,False,192.77777777777777,True,2.4,False,"rain_on_snow,slush_conditions",unknown,insufficient_salt_period,for_lite,unknown,akutt_slush_fjerning,slush_scraping,,False
22. des. 2022,2022-12-22 09:46:05,2022-12-22 13:15:43,2.9741666666666666,19.3,medium_treatment,8810.0,"{'status': 'success', 'window_hours': 18, 'observations_count': 180, 'time_range': {'start': Timestamp('2022-12-21 15:50:00+0000', tz='UTC'), 'end': Timestamp('2022-12-22 21:40:00+0000', tz='UTC')}, 'temperature': {'min': np.float64(-1.1), 'max': np.float64(1.0), 'mean': np.float64(0.2866666666666667), 'around_freezing': np.True_}, 'precipitation': {'total': np.float64(19.600000000000005), 'max_hourly': np.float64(1.5), 'hours_with_precip': np.int64(22), 'rain_on_snow': False}, 'wind': {'max': np.float64(2.8), 'mean': np.float64(1.2833333333333337), 'strong_wind': np.False_, 'extreme_wind': np.False_}, 'snow': {'depth_cm': np.float64(754.4444444444445), 'min_depth_cm': np.int64(500), 'max_depth_cm': np.int64(900), 'snow_present': np.True_, 'snow_change': np.int64(4)}, 'weather_scenarios': ['rain_on_snow', 'slush_conditions']}",-1.1,1.0,0.2866666666666667,True,19.600000000000005,1.5,False,754.4444444444445,True,2.8,False,"rain_on_snow,slush_conditions",unknown,insufficient_salt_period,for_lite,unknown,akutt_slush_fjerning,slush_scraping,,False
22. des. 2022,2022-12-22 11:03:24,2022-12-22 13:43:52,2.4644444444444447,8.1,medium_treatment,8894.0,"{'status': 'success', 'window_hours': 18, 'observations_count': 180, 'time_range': {'start': Timestamp('2022-12-21 17:10:00+0000', tz='UTC'), 'end': Timestamp('2022-12-22 23:00:00+0000', tz='UTC')}, 'temperature': {'min': np.float64(-1.6), 'max': np.float64(1.0), 'mean': np.float64(0.13), 'around_freezing': np.True_}, 'precipitation': {'total': np.float64(18.300000000000004), 'max_hourly': np.float64(1.5), 'hours_with_precip': np.int64(20), 'rain_on_snow': False}, 'wind': {'max': np.float64(2.8), 'mean': np.float64(1.3099999999999998), 'strong_wind': np.False_, 'extreme_wind': np.False_}, 'snow': {'depth_cm': np.float64(772.2222222222223), 'min_depth_cm': np.int64(500), 'max_depth_cm': np.int64(900), 'snow_present': np.True_, 'snow_change': np.int64(4)}, 'weather_scenarios': ['rain_on_snow', 'slush_conditions']}",-1.6,1.0,0.13,True,18.300000000000004,1.5,False,772.2222222222223,True,2.8,False,"rain_on_snow,slush_conditions",unknown,insufficient_salt_period,for_lite,unknown,akutt_slush_fjerning,slush_scraping,,False
23. des. 2022,2022-12-23 08:03:21,2022-12-23 14:21:13,4.562222222222222,22.4,medium_treatment,8894.0,"{'status': 'success', 'window_hours': 168, 'observations_count': 1080, 'time_range': {'start': Timestamp('2022-12-16 08:10:00+0000', tz='UTC'), 'end': Timestamp('2022-12-23 20:00:00+0000', tz='UTC')}, 'temperature': {'min': np.float64(-8.6), 'max': np.float64(3.8), 'mean': np.float64(-0.6272222222222222), 'around_freezing': np.True_}, 'precipitation': {'total': np.float64(72.80000000000001), 'max_hourly': np.float64(3.5), 'hours_with_precip': np.int64(72), 'rain_on_snow': False}, 'wind': {'max': np.float64(11.9), 'mean': np.float64(2.318333333333334), 'strong_wind': np.True_, 'extreme_wind': np.True_}, 'snow': {'depth_cm': np.float64(1339.1435768261963), 'min_depth_cm': np.float64(-100.0), 'max_depth_cm': np.float64(3600.0), 'snow_present': np.True_, 'snow_change': np.float64(37.0)}, 'weather_scenarios': ['rain_on_snow', 'freeze_thaw_cycle']}",-8.6,3.8,-0.6272222222222222,True,72.80000000000001,3.5,False,1339.1435768261963,True,11.9,True,"rain_on_snow,freeze_thaw_cycle",unknown,insufficient_salt_period,for_lite,unknown,tunbrøyting_ukentlig_snø,freeze_thaw_salting,62.1mm i 6 dager,True
26. des. 2022,2022-12-26 16:44:23,2022-12-26 18:34:06,1.7525,17.6,medium_treatment,8894.0,"{'status': 'success', 'window_hours': 18, 'observations_count': 180, 'time_range': {'start': Timestamp('2022-12-25 22:50:00+0000', tz='UTC'), 'end': Timestamp('2022-12-27 04:40:00+0000', tz='UTC')}, 'temperature': {'min': np.float64(-2.2), 'max': np.float64(3.4), 'mean': np.float64(0.49666666666666676), 'around_freezing': np.True_}, 'precipitation': {'total': np.float64(23.3), 'max_hourly': np.float64(2.3), 'hours_with_precip': np.int64(23), 'rain_on_snow': False}, 'wind': {'max': np.float64(7.1), 'mean': np.float64(1.7), 'strong_wind': np.True_, 'extreme_wind': np.False_}, 'snow': {'depth_cm': np.float64(1114.4444444444443), 'min_depth_cm': np.int64(400), 'max_depth_cm': np.int64(1900), 'snow_present': np.True_, 'snow_change': np.int64(15)}, 'weather_scenarios': ['rain_on_snow', 'slush_conditions', 'freeze_thaw_cycle']}",-2.2,3.4,0.49666666666666676,True,23.3,2.3,False,1114.4444444444443,True,7.1,True,"rain_on_snow,slush_conditions,freeze_thaw_cycle",unknown,insufficient_salt_period,for_lite,unknown,akutt_slush_fjerning,slush_scraping,,False
27. des. 2022,2022-12-27 07:42:43,2022-12-27 13:16:00,5.255833333333333,28.8,heavy_treatment,8810.0,"{'status': 'success', 'window_hours': 18, 'observations_count': 180, 'time_range': {'start': Timestamp('2022-12-26 13:50:00+0000', tz='UTC'), 'end': Timestamp('2022-12-27 19:40:00+0000', tz='UTC')}, 'temperature': {'min': np.float64(-5.2), 'max': np.float64(-0.3), 'mean': np.float64(-2.3400000000000003), 'around_freezing': np.True_}, 'precipitation': {'total': np.float64(18.600000000000005), 'max_hourly': np.float64(2.3), 'hours_with_precip': np.int64(20), 'rain_on_snow': False}, 'wind': {'max': np.float64(7.1), 'mean': np.float64(1.853333333333333), 'strong_wind': np.True_, 'extreme_wind': np.False_}, 'snow': {'depth_cm': np.float64(1830.0), 'min_depth_cm': np.int64(1300), 'max_depth_cm': np.int64(2100), 'snow_present': np.True_, 'snow_change': np.int64(8)}, 'weather_scenarios': []}",-5.2,-0.3,-2.3400000000000003,True,18.600000000000005,2.3,False,1830.0,True,7.1,True,,unknown,insufficient_salt_period,for_lite,unknown,standard_vinterdrift,snow_plowing,,False
27. des. 2022,2022-12-27 17:51:40,2022-12-27 18:12:31,0.34638888888888886,6.1,light_treatment,8894.0,"{'status': 'success', 'window_hours': 18, 'observations_count': 180, 'time_range': {'start': Timestamp('2022-12-27 00:00:00+0000', tz='UTC'), 'end': Timestamp('2022-12-28 05:50:00+0000', tz='UTC')}, 'temperature': {'min': np.float64(-5.4), 'max': np.float64(-0.9), 'mean': np.float64(-3.186666666666667), 'around_freezing': np.True_}, 'precipitation': {'total': np.float64(12.0), 'max_hourly': np.float64(2.3), 'hours_with_precip': np.int64(12), 'rain_on_snow': False}, 'wind': {'max': np.float64(10.1), 'mean': np.float64(3.9099999999999993), 'strong_wind': np.True_, 'extreme_wind': np.True_}, 'snow': {'depth_cm': np.float64(1916.6666666666667), 'min_depth_cm': np.int64(900), 'max_depth_cm': np.int64(2100), 'snow_present': np.True_, 'snow_change': np.int64(12)}, 'weather_scenarios': []}",-5.4,-0.9,-3.186666666666667,True,12.0,2.3,False,1916.6666666666667,True,10.1,True,,unknown,insufficient_salt_period,for_lite,unknown,standard_vinterdrift,snow_plowing,,False
28. des. 2022,2022-12-28 05:26:46,2022-12-28 13:45:55,1.5508333333333333,18.9,medium_treatment,8894.0,"{'status': 'success', 'window_hours': 18, 'observations_count': 180, 'time_range': {'start': Timestamp('2022-12-27 11:30:00+0000', tz='UTC'), 'end': Timestamp('2022-12-28 17:20:00+0000', tz='UTC')}, 'temperature': {'min': np.float64(-5.4), 'max': np.float64(-1.4), 'mean': np.float64(-3.2600000000000002), 'around_freezing': np.True_}, 'precipitation': {'total': np.float64(1.8), 'max_hourly': np.float64(1.1), 'hours_with_precip': np.int64(2), 'rain_on_snow': False}, 'wind': {'max': np.float64(10.6), 'mean': np.float64(5.903333333333334), 'strong_wind': np.True_, 'extreme_wind': np.True_}, 'snow': {'depth_cm': np.float64(1546.111111111111), 'min_depth_cm': np.int64(900), 'max_depth_cm': np.int64(2100), 'snow_present': np.True_, 'snow_change': np.int64(12)}, 'weather_scenarios': []}",-5.4,-1.4,-3.2600000000000002,True,1.8,1.1,False,1546.111111111111,True,10.6,True,,unknown,insufficient_salt_period,for_lite,unknown,standard_vinterdrift,snow_plowing,,False
