episode_idx,dato,kategori,er_væravhengig,old_snøfokk_risiko,old_glattføre_risiko,new_snøfokk_risiko,new_glattføre_risiko,new_snøfokk_reason,new_glattføre_reason
0,21. des. 2022,road_inspection,False,low,low,low,low,Ingen kriterier oppfylt for snøfokk-risiko,Ingen kriterier oppfylt for glattføre-risiko
1,21. des. 2022,road_inspection,False,low,low,low,low,Ingen kriterier oppfylt for snøfokk-risiko,Ingen kriterier oppfylt for glattføre-risiko
2,21. des. 2022,road_inspection,False,low,low,low,low,Ingen kriterier oppfylt for snøfokk-risiko,Ingen kriterier oppfylt for glattføre-risiko
3,22. des. 2022,standard_maintenance,True,low,low,low,low,Ingen kriterier oppfylt for snøfokk-risiko,Ingen kriterier oppfylt for glattføre-risiko
4,22. des. 2022,standard_maintenance,True,low,low,low,low,Ingen kriterier oppfylt for snøfokk-risiko,Ingen kriterier oppfylt for glattføre-risiko
5,23. des. 2022,standard_maintenance,True,low,low,low,low,Ingen kriterier oppfylt for snøfokk-risiko,Ingen kriterier oppfylt for glattføre-risiko
6,26. des. 2022,standard_maintenance,True,low,low,low,low,Ingen kriterier oppfylt for snøfokk-risiko,Ingen kriterier oppfylt for glattføre-risiko
7,27. des. 2022,heavy_plowing,True,medium,low,low,low,Ingen kriterier oppfylt for snøfokk-risiko,Ingen kriterier oppfylt for glattføre-risiko
8,27. des. 2022,road_inspection,False,low,low,low,low,Ingen kriterier oppfylt for snøfokk-risiko,Ingen kriterier oppfylt for glattføre-risiko
9,28. des. 2022,standard_maintenance,True,low,low,low,high,Ingen kriterier oppfylt for snøfokk-risiko,"Regn på snø: 1.8°C, 1.6cm snø, 5.7mm nedbør"
10,29. des. 2022,standard_maintenance,True,medium,low,low,low,Ingen kriterier oppfylt for snøfokk-risiko,Ingen kriterier oppfylt for glattføre-risiko
11,30. des. 2022,standard_maintenance,True,medium,low,low,high,Ingen kriterier oppfylt for snøfokk-risiko,"Regn på snø: 5.5°C, 1.2cm snø, 0.9mm nedbør"
12,30. des. 2022,heavy_plowing,True,medium,low,low,high,Ingen kriterier oppfylt for snøfokk-risiko,"Regn på snø: 4.3°C, 3.0cm snø, 15.6mm nedbør"
13,1. jan. 2023,unknown_short,False,low,low,high,low,Vindkjøling -9.9°C + vind 4.6m/s,Ingen kriterier oppfylt for glattføre-risiko
14,4. jan. 2023,standard_maintenance,True,medium,low,medium,low,Moderat vindkjøling -9.6°C + vind 2.5m/s,Ingen kriterier oppfylt for glattføre-risiko
15,5. jan. 2023,road_inspection,False,medium,low,high,low,Vindkjøling -13.3°C + vind 3.3m/s,Ingen kriterier oppfylt for glattføre-risiko
16,6. jan. 2023,friday_routine,False,medium,low,high,low,Vindkjøling -9.0°C + vind 5.5m/s,Ingen kriterier oppfylt for glattføre-risiko
17,6. jan. 2023,friday_routine,False,low,low,high,low,Vindkjøling -8.2°C + vind 4.1m/s,Ingen kriterier oppfylt for glattføre-risiko
18,7. jan. 2023,standard_maintenance,True,medium,low,high,low,Vindkjøling -15.9°C + vind 3.9m/s,Ingen kriterier oppfylt for glattføre-risiko
19,8. jan. 2023,standard_maintenance,True,low,low,high,high,Mye snø 34.5cm + vind 3.6m/s,"Regn på snø: -0.4°C, 34.5cm snø, 5.2mm nedbør"
20,13. jan. 2023,standard_maintenance,True,medium,low,high,low,Vindkjøling -13.2°C + vind 6.9m/s,Ingen kriterier oppfylt for glattføre-risiko
21,13. jan. 2023,friday_routine,False,medium,low,medium,high,Moderat vindkjøling -7.8°C + vind 5.8m/s,"Regn på snø: -1.9°C, 11.8cm snø, 2.6mm nedbør"
22,15. jan. 2023,standard_maintenance,True,high,low,high,low,Vindkjøling -18.9°C + vind 7.4m/s,Ingen kriterier oppfylt for glattføre-risiko
23,17. jan. 2023,standard_maintenance,True,medium,low,low,low,Ingen kriterier oppfylt for snøfokk-risiko,Ingen kriterier oppfylt for glattføre-risiko
