referenceTime,air_temperature,max(air_temperature PT1H),max(wind_speed PT1H),min(air_temperature PT1H),relative_humidity,sum(precipitation_amount PT1H),surface_snow_thickness,wind_from_direction,wind_speed,last_6h_precip,delta_snow_6h,consec_wind_ge7,high_risk_sector,wind_sector,loose_snow_gate,humidity_penalty,risk_level,factors
2025-08-06 17:00:00+02:00,9.7,9.9,4.1,9.7,100.0,0.1,,315.0,3.3,0.1,,0,1,NW,0,0,low,[]
2025-08-06 17:10:00+02:00,9.7,,,,,,,,,0.1,,0,0,NA,0,0,unknown,['Mangler vind/temperatur']
2025-08-06 17:20:00+02:00,9.7,,,,,,,,,0.1,,0,0,NA,0,0,unknown,['Mangler vind/temperatur']
2025-08-06 17:30:00+02:00,9.8,,,,,,,,,0.1,,0,0,NA,0,0,unknown,['Mangler vind/temperatur']
2025-08-06 17:40:00+02:00,10.1,,,,,,,,,0.1,,0,0,NA,0,0,unknown,['Mangler vind/temperatur']
2025-08-06 17:50:00+02:00,10.5,,,,,,,,,0.1,,0,0,NA,0,0,unknown,['Mangler vind/temperatur']
2025-08-06 18:00:00+02:00,9.9,10.6,4.0,9.6,95.0,0.1,,342.0,2.3,0.1,,0,1,N,0,0,low,[]
2025-08-06 18:10:00+02:00,9.8,,,,,,,,,0.1,,0,0,NA,0,0,unknown,['Mangler vind/temperatur']
2025-08-06 18:20:00+02:00,9.6,,,,,,,,,0.1,,0,0,NA,0,0,unknown,['Mangler vind/temperatur']
2025-08-06 18:30:00+02:00,9.6,,,,,,,,,0.1,,0,0,NA,0,0,unknown,['Mangler vind/temperatur']
2025-08-06 18:40:00+02:00,9.6,,,,,,,,,0.1,,0,0,NA,0,0,unknown,['Mangler vind/temperatur']
2025-08-06 18:50:00+02:00,9.4,,,,,,,,,0.1,,0,0,NA,0,0,unknown,['Mangler vind/temperatur']
2025-08-06 19:00:00+02:00,9.1,9.9,2.9,9.1,100.0,0.1,,341.0,1.7,0.1,,0,1,N,0,0,low,[]
2025-08-06 19:10:00+02:00,9.0,,,,,,,,,0.1,,0,0,NA,0,0,unknown,['Mangler vind/temperatur']
2025-08-06 19:20:00+02:00,9.0,,,,,,,,,0.1,,0,0,NA,0,0,unknown,['Mangler vind/temperatur']
2025-08-06 19:30:00+02:00,9.0,,,,,,,,,0.1,,0,0,NA,0,0,unknown,['Mangler vind/temperatur']
2025-08-06 19:40:00+02:00,8.9,,,,,,,,,0.1,,0,0,NA,0,0,unknown,['Mangler vind/temperatur']
2025-08-06 19:50:00+02:00,8.9,,,,,,,,,0.1,,0,0,NA,0,0,unknown,['Mangler vind/temperatur']
2025-08-06 20:00:00+02:00,9.0,9.1,3.1,8.9,100.0,1.3,,348.0,2.2,1.3,,0,1,N,0,0,low,[]
2025-08-06 20:10:00+02:00,9.0,,,,,,,,,1.3,,0,0,NA,0,0,unknown,['Mangler vind/temperatur']
2025-08-06 20:20:00+02:00,9.0,,,,,,,,,1.3,,0,0,NA,0,0,unknown,['Mangler vind/temperatur']
2025-08-06 20:30:00+02:00,9.1,,,,,,,,,1.3,,0,0,NA,0,0,unknown,['Mangler vind/temperatur']
2025-08-06 20:40:00+02:00,9.1,,,,,,,,,1.3,,0,0,NA,0,0,unknown,['Mangler vind/temperatur']
2025-08-06 20:50:00+02:00,9.1,,,,,,,,,1.3,,0,0,NA,0,0,unknown,['Mangler vind/temperatur']
2025-08-06 21:00:00+02:00,9.1,9.1,2.9,9.0,100.0,0.4,,339.0,2.7,0.4,,0,1,N,0,0,low,[]
2025-08-06 21:10:00+02:00,9.2,,,,,,,,,0.4,,0,0,NA,0,0,unknown,['Mangler vind/temperatur']
2025-08-06 21:20:00+02:00,9.1,,,,,,,,,0.4,,0,0,NA,0,0,unknown,['Mangler vind/temperatur']
2025-08-06 21:30:00+02:00,9.1,,,,,,,,,0.4,,0,0,NA,0,0,unknown,['Mangler vind/temperatur']
