referenceTime,air_temperature,dew_point_temperature,max(air_temperature PT1H),max(wind_speed PT1H),min(air_temperature PT1H),relative_humidity,sum(precipitation_amount PT1H),surface_snow_thickness,surface_temperature,wind_from_direction,wind_speed,last_6h_precip,precip_mm_h,delta_snow_6h,consec_wind_ge7,high_risk_sector,wind_sector,loose_snow_gate,humidity_penalty,risk_level,factors,risk_slippery,factors_slippery
2023-10-01 00:00:00+02:00,6.8,6.4,7.2,1.6,6.8,97.0,0.2,,6.9,39.0,0.8,0.2,0.2,,0,1,NE,0,0,low,[],low,[]
2023-10-01 00:10:00+02:00,6.7,,,,,,,,6.8,,,0.2,0.0,,0,0,NA,0,0,unknown,['Mangler vind/temperatur'],low,[]
2023-10-01 00:20:00+02:00,6.7,,,,,,,,6.8,,,0.2,0.0,,0,0,NA,0,0,unknown,['Mangler vind/temperatur'],low,[]
2023-10-01 00:30:00+02:00,6.6,,,,,,,,6.8,,,0.2,0.0,,0,0,NA,0,0,unknown,['Mangler vind/temperatur'],low,[]
2023-10-01 00:40:00+02:00,6.6,,,,,,,,6.7,,,0.2,0.0,,0,0,NA,0,0,unknown,['Mangler vind/temperatur'],low,[]
2023-10-01 00:50:00+02:00,6.6,,,,,,,,6.6,,,0.2,0.0,,0,0,NA,0,0,unknown,['Mangler vind/temperatur'],low,[]
2023-10-01 01:00:00+02:00,6.5,6.1,6.8,1.7,6.5,97.0,0.0,,6.6,345.0,0.6,0.0,0.0,,0,1,N,0,0,low,[],low,[]
2023-10-01 01:10:00+02:00,6.5,,,,,,,,6.6,,,0.0,0.0,,0,0,NA,0,0,unknown,['Mangler vind/temperatur'],low,[]
2023-10-01 01:20:00+02:00,6.5,,,,,,,,6.6,,,0.0,0.0,,0,0,NA,0,0,unknown,['Mangler vind/temperatur'],low,[]
2023-10-01 01:30:00+02:00,6.5,,,,,,,,6.6,,,0.0,0.0,,0,0,NA,0,0,unknown,['Mangler vind/temperatur'],low,[]
2023-10-01 01:40:00+02:00,6.5,,,,,,,,6.6,,,0.0,0.0,,0,0,NA,0,0,unknown,['Mangler vind/temperatur'],low,[]
2023-10-01 01:50:00+02:00,6.4,,,,,,,,6.5,,,0.0,0.0,,0,0,NA,0,0,unknown,['Mangler vind/temperatur'],low,[]
