start_time,end_time,duration_h,risk_level,max_wind,avg_wind,min_temp,avg_temp,avg_snow_depth,delta_snow_period,predominant_sector,sector_counts,factors
2023-10-15T20:00:00+02:00,2023-10-15T20:10:00+02:00,2.0,high,5.3,5.3,-0.7,-0.6499999999999999,,,N,"{'N': 1, 'NA': 1}","['Duggpunkt ~ veitemp → isdannelse mulig', 'Veitemp -0.6°C ≤ 0 med regn og luft -0.6°C']"
2023-10-15T22:00:00+02:00,2023-10-15T22:10:00+02:00,2.0,high,4.7,4.7,-0.2,-0.2,,,NW,"{'NW': 1, 'NA': 1}","['Duggpunkt ~ veitemp → isdannelse mulig', 'Veitemp -0.3°C ≤ 0 med regn og luft -0.2°C']"
2023-10-15T23:00:00+02:00,2023-10-15T23:10:00+02:00,2.0,high,4.5,4.5,-0.6,-0.5,,,NW,"{'NW': 1, 'NA': 1}","['Duggpunkt ~ veitemp → isdannelse mulig', 'Veitemp -0.5°C ≤ 0 med regn og luft -0.4°C']"
2023-10-16T01:00:00+02:00,2023-10-16T01:10:00+02:00,2.0,high,3.4,3.4,-0.9,-0.9,,,N,"{'N': 1, 'NA': 1}","['Duggpunkt ~ veitemp → isdannelse mulig', 'Veitemp -0.8°C ≤ 0 med regn og luft -0.9°C']"
2023-10-16T02:00:00+02:00,2023-10-16T02:10:00+02:00,2.0,high,2.6,2.6,-0.9,-0.9,,,NW,"{'NW': 1, 'NA': 1}","['Duggpunkt ~ veitemp → isdannelse mulig', 'Veitemp -0.9°C ≤ 0 med høy RH og luft -0.9°C']"
2023-10-21T01:00:00+02:00,2023-10-21T01:10:00+02:00,2.0,high,14.7,14.7,-0.7,-0.6499999999999999,,,SE,"{'SE': 1, 'NA': 1}",['Veitemp -2.1°C ≤ 0 med regn og luft -0.6°C']
2023-10-21T02:00:00+02:00,2023-10-21T02:10:00+02:00,2.0,high,17.0,17.0,-0.8,-0.8,,,SE,"{'SE': 1, 'NA': 1}",['Veitemp -1.8°C ≤ 0 med regn og luft -0.8°C']
2023-10-21T03:00:00+02:00,2023-10-21T03:10:00+02:00,2.0,high,15.4,15.4,-0.8,-0.7,,,SE,"{'SE': 1, 'NA': 1}",['Veitemp -1.5°C ≤ 0 med regn og luft -0.8°C']
2023-11-09T02:00:00+01:00,2023-11-09T02:10:00+01:00,2.0,high,4.1,4.1,-0.1,0.15000000000000002,,,NE,"{'NE': 1, 'NA': 1}","['Duggpunkt ~ veitemp → isdannelse mulig', 'Veitemp 0.0°C ≤ 0 med regn og luft 0.4°C']"
2023-11-09T03:00:00+01:00,2023-11-09T03:10:00+01:00,2.0,high,3.6,3.6,-0.2,-0.2,,,SE,"{'SE': 1, 'NA': 1}","['Duggpunkt ~ veitemp → isdannelse mulig', 'Veitemp -0.7°C ≤ 0 med regn og luft -0.2°C']"
2023-11-22T03:00:00+01:00,2023-11-22T03:10:00+01:00,2.0,high,3.3,3.3,-0.7,-0.6,3.9,0.0,S,"{'S': 1, 'NA': 1}","['Snø til stede', 'Veitemp -1.6°C ≤ 0 med regn og luft -0.7°C']"
2023-11-22T04:00:00+01:00,2023-11-22T04:10:00+01:00,2.0,high,3.5,3.5,-0.6,-0.55,4.0,0.0,SE,"{'SE': 1, 'NA': 1}","['Snø til stede', 'Veitemp -1.4°C ≤ 0 med regn og luft -0.5°C']"
2023-11-22T05:00:00+01:00,2023-11-22T05:10:00+01:00,2.0,high,3.5,3.5,-0.6,-0.55,5.1,0.33333333333333304,S,"{'S': 1, 'NA': 1}","['Lufttemp -0.6°C nær 0', 'Regn 1.0 mm/h på snødybde 5 cm', 'Økende snødybde (nysnø) → redusert glattrisiko']"
