start,end,duration_hours,max_snow,min_temp,max_temp,avg_humidity,snow_change,total_precip,max_3h_precip
2023-12-15 00:00:00,2023-12-15 03:00:00,3.0,11.3,0.2,1.0,97.75,-0.3000000000000007,3.0999999999999996,2.7
2023-12-28 16:00:00,2023-12-28 19:00:00,3.0,30.7,0.8,1.2,92.25,-0.3999999999999986,1.5,2.100000000000002
2023-12-29 12:00:00,2023-12-29 15:00:00,3.0,42.3,0.1,1.0,97.25,-2.200000000000003,0.7000000000000001,9.300000000000002
2024-01-21 00:00:00,2024-01-21 03:00:00,3.0,77.1,0.8,1.8,94.25,-2.299999999999997,1.7000000000000002,2.8000000000000025
2024-01-21 14:00:00,2024-01-21 17:00:00,3.0,81.4,0.1,1.0,98.0,-1.5999999999999943,1.9,3.900000000000003
2024-01-22 19:00:00,2024-01-22 22:00:00,3.0,62.6,0.6,0.9,93.0,1.2000000000000028,8.5,8.200000000000003
2024-01-24 00:00:00,2024-01-24 03:00:00,3.0,64.0,0.6,3.0,97.0,-2.000000000000007,11.100000000000001,10.900000000000002
2024-01-24 15:00:00,2024-01-24 18:00:00,3.0,58.6,2.3,3.1,95.5,-1.5,2.8,6.700000000000003
2024-01-27 05:00:00,2024-01-27 08:00:00,3.0,56.3,1.9,2.1,98.25,-1.3000000000000043,1.9,2.8000000000000034
2024-02-04 06:00:00,2024-02-04 09:00:00,3.0,65.3,-0.5,0.0,92.25,-3.0,2.3000000000000003,2.700000000000004
2024-02-22 05:00:00,2024-02-22 08:00:00,3.0,49.3,1.5,1.8,94.75,-0.7000000000000028,0.3,2.0000000000000036
2024-02-23 14:00:00,2024-02-23 17:00:00,3.0,60.6,-0.4,0.1,88.0,-1.2000000000000028,2.2,4.400000000000003
2024-02-29 11:00:00,2024-02-29 14:00:00,3.0,62.3,3.3,3.5,89.0,-2.799999999999997,0.7,4.400000000000003
2024-03-15 20:00:00,2024-03-15 23:00:00,3.0,33.9,0.5,2.7,97.75,0.6000000000000014,4.9,4.8000000000000025
2024-03-22 00:00:00,2024-03-22 03:00:00,3.0,39.5,2.0,2.6,99.0,-2.799999999999997,1.2,8.000000000000004
2024-03-22 12:00:00,2024-03-22 15:00:00,3.0,39.8,0.5,1.2,87.0,1.5999999999999943,4.1,3.900000000000003
2024-03-23 14:00:00,2024-03-23 17:00:00,3.0,62.5,0.4,0.9,95.75,-1.5999999999999943,3.3,3.900000000000004
2024-03-31 04:00:00,2024-03-31 07:00:00,3.0,31.8,0.5,1.4,97.75,-0.5000000000000036,0.6,2.4000000000000035
2024-04-07 10:00:00,2024-04-07 13:00:00,3.0,14.3,4.0,4.9,85.5,-0.5,0.9,4.600000000000005
2024-04-08 04:00:00,2024-04-08 07:00:00,3.0,11.3,3.5,3.7,91.75,-0.6000000000000014,0.0,2.300000000000005
