dato,klokkeslett,vindstyrke,temperatur,snødybde,risikoscore
2018-02-14,14:00,7.1,-2.2,81.6,0.84
2018-02-14,15:00,7.1,-2.3,82.5,0.72
2018-02-14,16:00,7.0,-2.5,81.6,0.72
2018-02-14,18:00,9.7,-2.5,84.1,0.92
2018-02-14,19:00,8.5,-2.5,83.6,0.74
2018-02-14,20:00,9.2,-2.8,81.3,0.84
2018-02-14,22:00,9.6,-2.6,81.2,0.74
2018-02-14,23:00,8.9,-2.8,80.3,0.8
2018-02-15,00:00,10.2,-2.7,80.0,0.74
2018-02-15,01:00,9.9,-2.8,79.4,0.74
2018-02-15,02:00,8.1,-2.7,78.9,0.74
2018-02-15,03:00,10.1,-2.9,78.4,0.74
2018-02-15,04:00,10.8,-2.6,78.1,0.74
2018-02-15,05:00,10.0,-2.7,77.6,0.74
2018-02-27,18:00,6.7,-14.4,73.5,0.92
2018-02-27,19:00,11.5,-14.6,73.2,0.74
2018-02-27,20:00,10.5,-14.8,72.9,0.74
2018-02-27,21:00,6.2,-15.3,72.8,0.74
2018-02-28,02:00,7.5,-16.5,72.6,0.74
2018-02-28,03:00,9.6,-16.6,67.4,0.92
2018-02-28,04:00,7.8,-16.1,66.4,0.8
2018-02-28,05:00,6.5,-16.0,65.3,0.8
2018-02-28,08:00,11.6,-15.9,65.4,0.74
2018-02-28,09:00,11.1,-15.8,65.3,0.74
2018-02-28,10:00,9.5,-15.8,65.1,0.74
2018-02-28,11:00,6.9,-15.6,65.2,0.74
2018-02-28,12:00,6.8,-15.5,67.5,0.84
2018-02-28,13:00,7.5,-15.1,71.9,0.84
2018-02-28,14:00,7.3,-14.9,65.1,0.92
2018-03-11,03:00,8.9,-2.4,63.7,0.74
2018-03-11,04:00,10.6,-2.7,63.9,0.74
2018-03-11,05:00,7.3,-2.4,63.7,0.74
2018-03-15,01:00,6.3,-4.0,62.9,0.72
2018-03-15,02:00,10.3,-4.3,62.7,0.74
2018-03-15,03:00,12.5,-4.3,62.8,0.74
2018-03-15,04:00,12.1,-4.2,62.6,0.74
2018-03-15,05:00,12.5,-4.4,62.5,0.74
2018-03-15,06:00,11.9,-4.7,62.5,0.74
2018-03-15,07:00,12.7,-5.2,62.5,0.74
2018-03-15,08:00,13.3,-5.1,62.5,0.74
2018-03-15,09:00,13.0,-4.7,62.4,0.74
2018-03-15,10:00,11.0,-4.4,62.3,0.74
