timestamp,air_temperature,surface_snow_thickness,wind_speed,wind_from_direction,relative_humidity,max_wind_gust,max_wind_speed,min_temperature,max_temperature,precipitation_duration,precipitation_amount,dew_point,hour,month,wind_sustained,wind_dir_change,snow_depth_change,risk_score
2018-02-14 14:00:00,-2.2,81.6,7.1,,68.0,14.2,7.9,-2.2,-1.8,0.0,0.0,-7.4,14,2,7.0,0.0,2.1000000000000085,0.8400000000000001
2018-02-14 15:00:00,-2.3,82.5,7.1,,63.0,14.6,8.3,-2.3,-2.1,2.0,0.0,-8.1,15,2,7.1,0.0,0.9000000000000057,0.7200000000000001
2018-02-14 16:00:00,-2.5,81.6,7.0,,63.0,16.3,9.0,-2.5,-2.1,0.0,0.0,-8.5,16,2,7.066666666666666,0.0,0.9000000000000057,0.7200000000000001
2018-02-14 18:00:00,-2.5,84.1,9.7,,62.0,17.2,10.5,-2.6,-2.3,3.0,0.0,-8.5,18,2,8.0,0.0,2.799999999999997,0.9200000000000002
2018-02-14 19:00:00,-2.5,83.6,8.5,,60.0,17.9,10.0,-2.6,-2.4,2.0,0.0,-8.9,19,2,8.5,0.0,0.5,0.7400000000000001
2018-02-14 20:00:00,-2.8,81.3,9.2,,63.0,16.2,9.3,-2.9,-2.2,0.0,0.0,-8.5,20,2,9.133333333333333,0.0,2.299999999999997,0.8400000000000001
2018-02-14 22:00:00,-2.6,81.2,9.6,,58.0,19.1,9.9,-3.0,-2.6,2.0,0.0,-9.8,22,2,9.533333333333333,0.0,0.5,0.7400000000000001
2018-02-14 23:00:00,-2.8,80.3,8.9,,61.0,18.8,11.3,-3.0,-2.6,5.0,0.0,-8.9,23,2,9.433333333333334,0.0,0.9000000000000057,0.8000000000000002
2018-02-15 00:00:00,-2.7,80.0,10.2,,61.0,17.4,10.6,-3.0,-2.7,7.0,0.0,-8.9,0,2,9.566666666666666,0.0,0.29999999999999716,0.7400000000000001
2018-02-15 01:00:00,-2.8,79.4,9.9,,63.0,17.3,10.4,-2.8,-2.6,0.0,0.0,-8.5,1,2,9.666666666666666,0.0,0.5999999999999943,0.7400000000000001
2018-02-15 02:00:00,-2.7,78.9,8.1,,63.0,17.1,10.7,-2.7,-2.4,0.0,0.0,-8.5,2,2,9.4,0.0,0.5,0.7400000000000001
2018-02-15 03:00:00,-2.9,78.4,10.1,,67.0,18.1,10.8,-3.0,-2.6,0.0,0.0,-8.1,3,2,9.366666666666667,0.0,0.5,0.7400000000000001
2018-02-15 04:00:00,-2.6,78.1,10.8,,66.0,20.6,11.6,-3.1,-2.5,5.0,0.0,-8.1,4,2,9.666666666666666,0.0,0.30000000000001137,0.7400000000000001
2018-02-15 05:00:00,-2.7,77.6,10.0,,67.0,19.6,11.0,-2.8,-2.4,4.0,0.0,-7.8,5,2,10.299999999999999,0.0,0.5,0.7400000000000001
2018-02-27 18:00:00,-14.4,73.5,6.7,,56.0,19.3,8.8,-14.5,-13.9,27.0,0.0,-21.4,18,2,5.033333333333333,0.0,4.299999999999997,0.9200000000000002
2018-02-27 19:00:00,-14.6,73.2,11.5,,56.0,21.1,11.8,-14.6,-14.4,23.0,0.0,-21.4,19,2,8.166666666666666,0.0,0.29999999999999716,0.7400000000000001
2018-02-27 20:00:00,-14.8,72.9,10.5,,54.0,22.1,11.7,-14.9,-14.6,22.0,0.0,-22.4,20,2,9.566666666666666,0.0,0.29999999999999716,0.7400000000000001
2018-02-27 21:00:00,-15.3,72.8,6.2,,56.0,17.6,10.9,-15.3,-14.9,7.0,0.0,-21.4,21,2,9.4,0.0,0.10000000000000853,0.7400000000000001
2018-02-28 02:00:00,-16.5,72.6,7.5,,57.0,18.9,10.6,-16.5,-16.1,59.0,0.0,-22.4,2,2,6.233333333333333,0.0,0.10000000000000853,0.7400000000000001
2018-02-28 03:00:00,-16.6,67.4,9.6,,60.0,23.5,10.4,-16.7,-16.5,45.0,0.0,-22.4,3,2,7.966666666666666,0.0,5.199999999999989,0.9200000000000002
2018-02-28 04:00:00,-16.1,66.4,7.8,,57.0,19.6,9.4,-16.6,-15.9,43.0,0.1,-22.4,4,2,8.299999999999999,0.0,1.0,0.8000000000000002
2018-02-28 05:00:00,-16.0,65.3,6.5,,56.0,19.4,9.8,-16.1,-15.6,3.0,0.0,-22.4,5,2,7.966666666666666,0.0,1.1000000000000085,0.8000000000000002
2018-02-28 08:00:00,-15.9,65.4,11.6,,54.0,21.3,13.1,-16.2,-15.8,34.0,0.0,-22.4,8,2,7.199999999999999,0.0,0.10000000000000853,0.7400000000000001
2018-02-28 09:00:00,-15.8,65.3,11.1,,51.0,21.3,13.3,-16.0,-15.7,43.0,0.0,-23.6,9,2,9.433333333333332,0.0,0.10000000000000853,0.7400000000000001
2018-02-28 10:00:00,-15.8,65.1,9.5,,49.0,19.9,11.0,-16.0,-15.8,7.0,0.0,-23.6,10,2,10.733333333333333,0.0,0.20000000000000284,0.7400000000000001
2018-02-28 11:00:00,-15.6,65.2,6.9,,50.0,19.7,10.6,-15.8,-15.4,6.0,0.0,-23.6,11,2,9.166666666666666,0.0,0.10000000000000853,0.7400000000000001
2018-02-28 12:00:00,-15.5,67.5,6.8,,49.0,16.2,8.5,-15.6,-15.4,0.0,0.0,-23.6,12,2,7.733333333333333,0.0,2.299999999999997,0.8400000000000001
2018-02-28 13:00:00,-15.1,71.9,7.5,,49.0,15.3,8.8,-15.5,-15.1,0.0,0.0,-23.6,13,2,7.066666666666666,0.0,4.400000000000006,0.8400000000000001
2018-02-28 14:00:00,-14.9,65.1,7.3,,50.0,17.9,9.5,-15.2,-14.7,0.0,0.0,-22.4,14,2,7.2,0.0,6.800000000000011,0.9200000000000002
2018-03-11 03:00:00,-2.4,63.7,8.9,360.0,61.0,17.7,9.5,-3.0,-2.3,0.0,0.0,-8.9,3,3,8.766666666666666,1.0,0.5,0.7400000000000001
2018-03-11 04:00:00,-2.7,63.9,10.6,360.0,65.0,17.4,10.6,-2.7,-2.4,0.0,0.0,-8.1,4,3,9.533333333333333,0.0,0.19999999999999574,0.7400000000000001
2018-03-11 05:00:00,-2.4,63.7,7.3,359.0,63.0,19.4,11.6,-2.7,-2.1,0.0,0.0,-8.5,5,3,8.933333333333332,1.0,0.19999999999999574,0.7400000000000001
2018-03-15 01:00:00,-4.0,62.9,6.3,357.0,62.0,15.1,8.4,-4.0,-3.3,2.0,0.0,-10.2,1,3,5.299999999999998,9.0,1.0,0.7200000000000001
2018-03-15 02:00:00,-4.3,62.7,10.3,358.0,67.0,18.0,10.7,-4.4,-4.0,6.0,0.0,-9.8,2,3,7.499999999999999,1.0,0.19999999999999574,0.7400000000000001
2018-03-15 03:00:00,-4.3,62.8,12.5,359.0,66.0,20.8,12.5,-4.4,-4.2,26.0,0.0,-9.8,3,3,9.699999999999998,1.0,0.09999999999999432,0.7400000000000001
2018-03-15 04:00:00,-4.2,62.6,12.1,356.0,63.0,19.7,13.7,-4.5,-4.1,53.0,0.0,-10.2,4,3,11.633333333333333,3.0,0.19999999999999574,0.7400000000000001
2018-03-15 05:00:00,-4.4,62.5,12.5,359.0,62.0,19.0,13.4,-4.5,-4.0,39.0,0.0,-10.7,5,3,12.366666666666665,3.0,0.10000000000000142,0.7400000000000001
2018-03-15 06:00:00,-4.7,62.5,11.9,360.0,58.0,18.0,13.3,-4.7,-4.1,9.0,0.0,-11.6,6,3,12.166666666666666,1.0,0.0,0.7400000000000001
