reference_time,air_temperature,surface_temperature,wind_speed,max_wind_gust,wind_from_direction,surface_snow_thickness,precipitation_1h,relative_humidity,dew_point_temperature,temp_min_1h,temp_max_1h
2025-11-01 00:00:00+00:00,5.8,4.5,8.5,16.2,130.0,-1.0,0.0,72,1.1,5.2,6.0
2025-11-01 01:00:00+00:00,5.9,4.7,7.7,13.7,133.0,-1.0,0.0,71,1.1,5.6,6.0
2025-11-01 02:00:00+00:00,5.6,4.4,10.0,16.8,139.0,-1.0,0.0,76,1.7,5.2,5.9
2025-11-01 03:00:00+00:00,6.2,4.9,7.8,15.4,152.0,-1.0,0.4,73,1.7,5.3,6.2
2025-11-01 04:00:00+00:00,7.1,5.8,7.4,13.9,143.0,-1.0,0.0,70,2.1,6.1,7.2
2025-11-01 05:00:00+00:00,7.6,6.3,6.6,14.2,144.0,-1.0,0.0,69,2.3,7.1,7.6
2025-11-01 06:00:00+00:00,7.2,5.2,6.9,13.6,129.0,-1.0,0.0,72,2.5,6.3,7.7
2025-11-01 07:00:00+00:00,6.6,5.2,7.5,14.3,122.0,-1.0,0.0,74,2.5,5.8,7.2
2025-11-01 08:00:00+00:00,7.7,6.9,9.9,16.4,135.0,-1.0,0.0,77,3.9,6.4,8.2
2025-11-01 09:00:00+00:00,7.7,6.7,10.7,19.1,134.0,-1.0,0.0,75,3.6,7.2,8.1
2025-11-01 10:00:00+00:00,6.7,5.5,10.5,18.8,139.0,-1.0,0.8,88,4.8,6.7,8.2
2025-11-01 11:00:00+00:00,6.6,5.5,10.9,19.2,137.0,-1.0,0.4,91,5.3,6.5,7.4
2025-11-01 12:00:00+00:00,7.1,5.8,6.6,16.9,144.0,-1.0,3.0,89,5.5,6.5,7.6
2025-11-01 13:00:00+00:00,6.7,5.6,5.2,12.8,148.0,-1.0,0.6,95,5.9,6.6,7.1
2025-11-01 14:00:00+00:00,7.5,6.1,5.2,9.7,148.0,-1.0,0.8,92,6.4,6.5,7.5
2025-11-01 15:00:00+00:00,7.6,6.4,4.0,11.2,156.0,-1.0,0.8,98,7.3,7.5,7.9
2025-11-01 16:00:00+00:00,7.0,6.3,2.4,7.3,143.0,-1.0,3.1,100,7.0,7.0,7.6
2025-11-01 17:00:00+00:00,6.8,6.0,2.7,5.9,149.0,-1.0,0.5,100,6.8,6.7,6.9
2025-11-01 18:00:00+00:00,7.0,5.9,3.2,6.3,142.0,-1.0,0.0,100,7.0,6.7,7.0
2025-11-01 19:00:00+00:00,6.5,5.6,2.9,6.9,148.0,-1.0,0.1,100,6.5,6.5,7.0
2025-11-01 20:00:00+00:00,6.2,5.7,2.5,6.0,158.0,-1.0,0.4,100,6.2,6.2,6.5
2025-11-01 21:00:00+00:00,6.1,5.7,2.4,7.4,140.0,-1.0,1.3,100,6.1,6.1,6.2
2025-11-01 22:00:00+00:00,6.0,5.7,0.7,8.7,133.0,-1.0,2.0,100,6.1,6.0,6.4
2025-11-01 23:00:00+00:00,5.4,4.7,2.4,5.8,192.0,-1.0,4.7,100,5.5,5.3,6.0
2025-11-02 00:00:00+00:00,5.4,5.0,2.1,7.0,127.0,-1.0,3.5,100,5.5,5.2,5.6
2025-11-02 01:00:00+00:00,5.4,4.9,0.8,6.7,159.0,-1.0,0.0,100,5.5,5.4,5.6
2025-11-02 02:00:00+00:00,5.1,4.5,2.6,4.7,152.0,-1.0,0.8,100,5.1,5.1,5.4
2025-11-02 03:00:00+00:00,4.5,4.0,1.7,7.7,152.0,-1.0,0.0,100,4.5,4.5,5.1
2025-11-02 04:00:00+00:00,3.0,1.9,1.7,3.7,155.0,-1.0,2.3,100,3.0,3.0,4.5
2025-11-02 05:00:00+00:00,3.9,3.3,1.1,4.2,156.0,-1.0,0.4,100,3.9,2.8,3.9
2025-11-02 06:00:00+00:00,3.9,3.0,0.9,4.0,215.0,-1.0,0.4,100,3.9,3.9,4.0
2025-11-02 07:00:00+00:00,3.0,2.3,1.2,5.9,156.0,-1.0,2.3,100,3.0,2.8,3.8
2025-11-02 08:00:00+00:00,3.7,2.8,1.2,3.7,167.0,-1.0,0.2,100,3.8,3.0,3.9
2025-11-02 09:00:00+00:00,3.9,3.0,1.9,4.2,157.0,-1.0,0.0,100,3.9,3.7,4.0
2025-11-02 10:00:00+00:00,4.6,4.4,1.8,3.9,156.0,-1.0,0.0,98,4.3,3.9,4.6
2025-11-02 11:00:00+00:00,5.5,6.5,2.2,4.7,134.0,-1.0,0.0,85,3.2,4.6,5.9
2025-11-02 12:00:00+00:00,5.1,4.4,2.0,4.9,129.0,-1.0,0.0,84,2.7,5.1,6.1
2025-11-02 13:00:00+00:00,5.3,4.5,1.5,5.5,151.0,-1.0,0.0,83,2.7,5.1,5.5
2025-11-02 14:00:00+00:00,5.3,5.1,2.0,4.3,126.0,-1.0,0.0,82,2.5,4.9,5.3
2025-11-02 15:00:00+00:00,4.3,2.2,1.7,3.6,160.0,-1.0,0.0,83,1.7,4.3,5.3
2025-11-02 16:00:00+00:00,4.4,3.2,2.8,5.7,139.0,-1.0,0.0,89,2.9,4.1,4.7
2025-11-02 17:00:00+00:00,3.8,2.8,1.8,5.3,140.0,-1.0,0.1,100,3.8,3.8,4.4
2025-11-02 18:00:00+00:00,4.6,3.3,3.3,5.3,148.0,-1.0,0.0,82,1.9,3.6,4.6
2025-11-02 19:00:00+00:00,4.2,3.0,2.9,6.6,146.0,-1.0,0.0,90,2.9,4.2,4.8
2025-11-02 20:00:00+00:00,3.9,3.0,3.1,7.1,144.0,-1.0,0.0,95,3.2,3.9,4.4
2025-11-02 21:00:00+00:00,4.1,3.2,2.9,5.3,137.0,-1.0,0.2,93,3.0,3.6,4.1
2025-11-02 22:00:00+00:00,3.4,3.0,1.8,5.5,163.0,-1.0,0.7,100,3.4,3.3,4.2
2025-11-02 23:00:00+00:00,3.5,3.2,1.7,4.0,127.0,-1.0,1.2,100,3.6,3.4,3.7
2025-11-03 00:00:00+00:00,3.8,3.4,1.8,5.1,151.0,-1.0,0.5,100,3.8,3.5,3.9
2025-11-03 01:00:00+00:00,4.0,3.3,2.4,5.4,150.0,-1.0,0.0,100,3.9,3.8,4.0
2025-11-03 02:00:00+00:00,3.7,2.9,2.3,4.7,142.0,-1.0,0.0,100,3.8,3.5,4.0
2025-11-03 03:00:00+00:00,3.4,2.9,2.0,5.3,155.0,-1.0,0.9,100,3.4,3.4,3.8
