referenceTime,surface_temperature,air_temperature,wind_speed,wind_from_direction,surface_snow_thickness,relative_humidity,dew_point_temperature,sum(precipitation_amount PT1H),time
2022-12-20 06:10:00+00:00,0.8,,,,,,,,2022-12-20 06:10:00+00:00
2022-12-20 06:20:00+00:00,0.8,,,,,,,,2022-12-20 06:20:00+00:00
2022-12-20 06:30:00+00:00,0.7,,,,,,,,2022-12-20 06:30:00+00:00
2022-12-20 06:40:00+00:00,0.7,,,,,,,,2022-12-20 06:40:00+00:00
2022-12-20 06:50:00+00:00,0.7,,,,,,,,2022-12-20 06:50:00+00:00
2022-12-20 07:00:00+00:00,0.7,3.2,1.1,109.0,5.9,92.0,2.1,,2022-12-20 07:00:00+00:00
2022-12-20 07:10:00+00:00,0.5,,,,,,,,2022-12-20 07:10:00+00:00
2022-12-20 07:20:00+00:00,0.6,,,,,,,,2022-12-20 07:20:00+00:00
2022-12-20 07:30:00+00:00,0.6,,,,,,,,2022-12-20 07:30:00+00:00
2022-12-20 07:40:00+00:00,0.4,,,,,,,,2022-12-20 07:40:00+00:00
2022-12-20 07:50:00+00:00,0.5,,,,,,,,2022-12-20 07:50:00+00:00
2022-12-20 08:00:00+00:00,0.4,2.8,1.4,151.0,4.5,92.0,1.7,,2022-12-20 08:00:00+00:00
2022-12-20 08:10:00+00:00,0.3,,,,,,,,2022-12-20 08:10:00+00:00
2022-12-20 08:20:00+00:00,0.4,,,,,,,,2022-12-20 08:20:00+00:00
2022-12-20 08:30:00+00:00,0.3,,,,,,,,2022-12-20 08:30:00+00:00
2022-12-20 08:40:00+00:00,0.0,,,,,,,,2022-12-20 08:40:00+00:00
2022-12-20 08:50:00+00:00,-0.1,,,,,,,,2022-12-20 08:50:00+00:00
2022-12-20 09:00:00+00:00,-1.0,2.2,0.0,0.0,3.1,91.0,1.1,,2022-12-20 09:00:00+00:00
2022-12-20 09:10:00+00:00,-0.8,,,,,,,,2022-12-20 09:10:00+00:00
2022-12-20 09:20:00+00:00,0.0,,,,,,,,2022-12-20 09:20:00+00:00
2022-12-20 09:30:00+00:00,0.4,,,,,,,,2022-12-20 09:30:00+00:00
2022-12-20 09:40:00+00:00,0.5,,,,,,,,2022-12-20 09:40:00+00:00
2022-12-20 09:50:00+00:00,0.5,,,,2.0,,,,2022-12-20 09:50:00+00:00
2022-12-20 10:00:00+00:00,0.6,3.0,1.7,172.0,-1.0,83.0,0.4,0.0,2022-12-20 10:00:00+00:00
2022-12-20 10:10:00+00:00,0.6,,,,-1.0,,,,2022-12-20 10:10:00+00:00
2022-12-20 10:20:00+00:00,0.6,,,,-1.0,,,,2022-12-20 10:20:00+00:00
2022-12-20 10:30:00+00:00,0.6,,,,-1.0,,,,2022-12-20 10:30:00+00:00
2022-12-20 10:40:00+00:00,0.6,,,,-1.0,,,,2022-12-20 10:40:00+00:00
2022-12-20 10:50:00+00:00,0.6,,,,-1.0,,,,2022-12-20 10:50:00+00:00
2022-12-20 11:00:00+00:00,0.5,3.2,1.0,169.0,-1.0,74.0,-0.9,0.0,2022-12-20 11:00:00+00:00
2022-12-20 11:10:00+00:00,0.5,,,,-1.0,,,,2022-12-20 11:10:00+00:00
2022-12-20 11:20:00+00:00,0.5,,,,-1.0,,,,2022-12-20 11:20:00+00:00
2022-12-20 11:30:00+00:00,0.5,,,,-1.0,,,,2022-12-20 11:30:00+00:00
2022-12-20 11:40:00+00:00,0.5,,,,-1.0,,,,2022-12-20 11:40:00+00:00
2022-12-20 11:50:00+00:00,0.5,,,,-1.0,,,,2022-12-20 11:50:00+00:00
2022-12-20 12:00:00+00:00,0.5,2.3,0.8,178.0,-1.0,93.0,1.3,0.2,2022-12-20 12:00:00+00:00
2022-12-20 12:10:00+00:00,0.4,,,,-1.0,,,,2022-12-20 12:10:00+00:00
2022-12-20 12:20:00+00:00,0.4,,,,-1.0,,,,2022-12-20 12:20:00+00:00
2022-12-20 12:30:00+00:00,0.5,,,,-1.0,,,,2022-12-20 12:30:00+00:00
2022-12-20 12:40:00+00:00,0.5,,,,-1.0,,,,2022-12-20 12:40:00+00:00
2022-12-20 12:50:00+00:00,0.6,,,,-1.0,,,,2022-12-20 12:50:00+00:00
2022-12-20 13:00:00+00:00,0.6,2.6,1.4,171.0,-1.0,96.0,2.1,1.1,2022-12-20 13:00:00+00:00
2022-12-20 13:10:00+00:00,0.6,,,,-1.0,,,,2022-12-20 13:10:00+00:00
2022-12-20 13:20:00+00:00,0.5,,,,-1.0,,,,2022-12-20 13:20:00+00:00
2022-12-20 13:30:00+00:00,0.6,,,,-1.0,,,,2022-12-20 13:30:00+00:00
2022-12-20 13:40:00+00:00,0.6,,,,-1.0,,,,2022-12-20 13:40:00+00:00
2022-12-20 13:50:00+00:00,0.4,,,,-1.0,,,,2022-12-20 13:50:00+00:00
2022-12-20 14:00:00+00:00,0.4,2.1,1.5,164.0,-1.0,93.0,1.1,3.5,2022-12-20 14:00:00+00:00
2022-12-20 14:10:00+00:00,0.4,,,,-1.0,,,,2022-12-20 14:10:00+00:00
2022-12-20 14:20:00+00:00,0.3,,,,-1.0,,,,2022-12-20 14:20:00+00:00
2022-12-20 14:30:00+00:00,0.3,,,,-1.0,,,,2022-12-20 14:30:00+00:00
2022-12-20 14:40:00+00:00,0.3,,,,-1.0,,,,2022-12-20 14:40:00+00:00
2022-12-20 14:50:00+00:00,0.3,,,,-1.0,,,,2022-12-20 14:50:00+00:00
2022-12-20 15:00:00+00:00,0.3,1.4,1.1,190.0,-1.0,95.0,0.9,1.2,2022-12-20 15:00:00+00:00
2022-12-20 15:10:00+00:00,0.2,,,,-1.0,,,,2022-12-20 15:10:00+00:00
2022-12-20 15:20:00+00:00,0.2,,,,-1.0,,,,2022-12-20 15:20:00+00:00
2022-12-20 15:30:00+00:00,0.2,,,,-1.0,,,,2022-12-20 15:30:00+00:00
2022-12-20 15:40:00+00:00,0.1,,,,-1.0,,,,2022-12-20 15:40:00+00:00
2022-12-20 15:50:00+00:00,0.1,,,,-1.0,,,,2022-12-20 15:50:00+00:00
2022-12-20 16:00:00+00:00,0.1,0.7,0.8,161.0,-1.0,96.0,0.0,1.6,2022-12-20 16:00:00+00:00
2022-12-20 16:10:00+00:00,0.1,,,,-1.0,,,,2022-12-20 16:10:00+00:00
2022-12-20 16:20:00+00:00,0.1,,,,-1.0,,,,2022-12-20 16:20:00+00:00
2022-12-20 16:30:00+00:00,0.1,,,,-1.0,,,,2022-12-20 16:30:00+00:00
2022-12-20 16:40:00+00:00,0.2,,,,-1.0,,,,2022-12-20 16:40:00+00:00
2022-12-20 16:50:00+00:00,0.2,,,,-1.0,,,,2022-12-20 16:50:00+00:00
2022-12-20 17:00:00+00:00,0.2,1.1,0.5,151.0,-1.0,97.0,0.6,0.7,2022-12-20 17:00:00+00:00
2022-12-20 17:10:00+00:00,0.2,,,,-1.0,,,,2022-12-20 17:10:00+00:00
2022-12-20 17:20:00+00:00,0.2,,,,-1.0,,,,2022-12-20 17:20:00+00:00
2022-12-20 17:30:00+00:00,0.3,,,,-1.0,,,,2022-12-20 17:30:00+00:00
2022-12-20 17:40:00+00:00,0.3,,,,-1.0,,,,2022-12-20 17:40:00+00:00
2022-12-20 17:50:00+00:00,0.3,,,,-1.0,,,,2022-12-20 17:50:00+00:00
2022-12-20 18:00:00+00:00,0.3,1.5,1.2,155.0,-1.0,98.0,1.3,0.0,2022-12-20 18:00:00+00:00
2022-12-20 18:10:00+00:00,0.3,,,,-1.0,,,,2022-12-20 18:10:00+00:00
2022-12-20 18:20:00+00:00,0.3,,,,-1.0,,,,2022-12-20 18:20:00+00:00
2022-12-20 18:30:00+00:00,0.3,,,,-1.0,,,,2022-12-20 18:30:00+00:00
2022-12-20 18:40:00+00:00,0.3,,,,-1.0,,,,2022-12-20 18:40:00+00:00
2022-12-20 18:50:00+00:00,0.3,,,,-1.0,,,,2022-12-20 18:50:00+00:00
2022-12-20 19:00:00+00:00,0.4,1.5,1.2,154.0,-1.0,98.0,1.3,0.0,2022-12-20 19:00:00+00:00
2022-12-20 19:10:00+00:00,0.3,,,,-1.0,,,,2022-12-20 19:10:00+00:00
2022-12-20 19:20:00+00:00,0.1,,,,-1.0,,,,2022-12-20 19:20:00+00:00
2022-12-20 19:30:00+00:00,0.2,,,,-1.0,,,,2022-12-20 19:30:00+00:00
2022-12-20 19:40:00+00:00,0.1,,,,-1.0,,,,2022-12-20 19:40:00+00:00
2022-12-20 19:50:00+00:00,0.2,,,,-1.0,,,,2022-12-20 19:50:00+00:00
2022-12-20 20:00:00+00:00,0.2,1.1,0.9,176.0,-1.0,96.0,0.4,1.8,2022-12-20 20:00:00+00:00
2022-12-20 20:10:00+00:00,0.3,,,,-1.0,,,,2022-12-20 20:10:00+00:00
2022-12-20 20:20:00+00:00,0.2,,,,-1.0,,,,2022-12-20 20:20:00+00:00
2022-12-20 20:30:00+00:00,0.3,,,,-1.0,,,,2022-12-20 20:30:00+00:00
2022-12-20 20:40:00+00:00,0.3,,,,-1.0,,,,2022-12-20 20:40:00+00:00
2022-12-20 20:50:00+00:00,0.3,,,,-1.0,,,,2022-12-20 20:50:00+00:00
2022-12-20 21:00:00+00:00,0.4,1.6,0.9,159.0,-1.0,97.0,1.3,1.1,2022-12-20 21:00:00+00:00
2022-12-20 21:10:00+00:00,0.3,,,,-1.0,,,,2022-12-20 21:10:00+00:00
2022-12-20 21:20:00+00:00,0.4,,,,-1.0,,,,2022-12-20 21:20:00+00:00
2022-12-20 21:30:00+00:00,0.4,,,,-1.0,,,,2022-12-20 21:30:00+00:00
2022-12-20 21:40:00+00:00,0.4,,,,-1.0,,,,2022-12-20 21:40:00+00:00
2022-12-20 21:50:00+00:00,0.4,,,,-1.0,,,,2022-12-20 21:50:00+00:00
2022-12-20 22:00:00+00:00,0.4,1.7,1.4,161.0,-1.0,97.0,1.3,0.8,2022-12-20 22:00:00+00:00
2022-12-20 22:10:00+00:00,0.4,,,,-1.0,,,,2022-12-20 22:10:00+00:00
2022-12-20 22:20:00+00:00,0.4,,,,-1.0,,,,2022-12-20 22:20:00+00:00
2022-12-20 22:30:00+00:00,0.3,,,,-1.0,,,,2022-12-20 22:30:00+00:00
2022-12-20 22:40:00+00:00,0.4,,,,-1.0,,,,2022-12-20 22:40:00+00:00
2022-12-20 22:50:00+00:00,0.5,,,,-1.0,,,,2022-12-20 22:50:00+00:00
2022-12-20 23:00:00+00:00,0.4,2.1,1.8,194.0,-1.0,95.0,1.3,1.0,2022-12-20 23:00:00+00:00
2022-12-20 23:10:00+00:00,0.4,,,,-1.0,,,,2022-12-20 23:10:00+00:00
2022-12-20 23:20:00+00:00,0.4,,,,-1.0,,,,2022-12-20 23:20:00+00:00
2022-12-20 23:30:00+00:00,0.4,,,,-1.0,,,,2022-12-20 23:30:00+00:00
2022-12-20 23:40:00+00:00,0.4,,,,-1.0,,,,2022-12-20 23:40:00+00:00
2022-12-20 23:50:00+00:00,0.5,,,,-1.0,,,,2022-12-20 23:50:00+00:00
2022-12-21 00:00:00+00:00,0.4,2.2,0.8,227.0,-1.0,94.0,1.5,0.1,2022-12-21 00:00:00+00:00
2022-12-21 00:10:00+00:00,0.4,,,,-1.0,,,,2022-12-21 00:10:00+00:00
2022-12-21 00:20:00+00:00,0.4,,,,-1.0,,,,2022-12-21 00:20:00+00:00
2022-12-21 00:30:00+00:00,0.2,,,,-1.0,,,,2022-12-21 00:30:00+00:00
2022-12-21 00:40:00+00:00,0.1,,,,-1.0,,,,2022-12-21 00:40:00+00:00
2022-12-21 00:50:00+00:00,0.0,,,,-1.0,,,,2022-12-21 00:50:00+00:00
2022-12-21 01:00:00+00:00,0.0,0.7,1.7,160.0,-1.0,94.0,-0.2,2.0,2022-12-21 01:00:00+00:00
2022-12-21 01:10:00+00:00,0.1,,,,-1.0,,,,2022-12-21 01:10:00+00:00
2022-12-21 01:20:00+00:00,0.2,,,,-1.0,,,,2022-12-21 01:20:00+00:00
2022-12-21 01:30:00+00:00,0.2,,,,-1.0,,,,2022-12-21 01:30:00+00:00
2022-12-21 01:40:00+00:00,0.2,,,,-1.0,,,,2022-12-21 01:40:00+00:00
2022-12-21 01:50:00+00:00,0.2,,,,-1.0,,,,2022-12-21 01:50:00+00:00
2022-12-21 02:00:00+00:00,0.3,1.4,1.1,153.0,-1.0,95.0,0.9,1.4,2022-12-21 02:00:00+00:00
2022-12-21 02:10:00+00:00,0.3,,,,-1.0,,,,2022-12-21 02:10:00+00:00
2022-12-21 02:20:00+00:00,0.3,,,,-1.0,,,,2022-12-21 02:20:00+00:00
2022-12-21 02:30:00+00:00,0.3,,,,-1.0,,,,2022-12-21 02:30:00+00:00
2022-12-21 02:40:00+00:00,0.3,,,,-1.0,,,,2022-12-21 02:40:00+00:00
2022-12-21 02:50:00+00:00,0.3,,,,-1.0,,,,2022-12-21 02:50:00+00:00
2022-12-21 03:00:00+00:00,0.3,1.7,1.3,131.0,-1.0,93.0,0.6,0.2,2022-12-21 03:00:00+00:00
2022-12-21 03:10:00+00:00,0.2,,,,-1.0,,,,2022-12-21 03:10:00+00:00
2022-12-21 03:20:00+00:00,0.3,,,,-1.0,,,,2022-12-21 03:20:00+00:00
2022-12-21 03:30:00+00:00,0.3,,,,-1.0,,,,2022-12-21 03:30:00+00:00
2022-12-21 03:40:00+00:00,0.2,,,,-1.0,,,,2022-12-21 03:40:00+00:00
2022-12-21 03:50:00+00:00,0.2,,,,-1.0,,,,2022-12-21 03:50:00+00:00
2022-12-21 04:00:00+00:00,0.2,1.2,1.4,136.0,-1.0,95.0,0.6,0.0,2022-12-21 04:00:00+00:00
2022-12-21 04:10:00+00:00,0.2,,,,-1.0,,,,2022-12-21 04:10:00+00:00
2022-12-21 04:20:00+00:00,0.2,,,,-1.0,,,,2022-12-21 04:20:00+00:00
2022-12-21 04:30:00+00:00,0.2,,,,-1.0,,,,2022-12-21 04:30:00+00:00
2022-12-21 04:40:00+00:00,0.2,,,,-1.0,,,,2022-12-21 04:40:00+00:00
2022-12-21 04:50:00+00:00,0.2,,,,-1.0,,,,2022-12-21 04:50:00+00:00
2022-12-21 05:00:00+00:00,0.2,1.2,1.3,134.0,-1.0,93.0,0.2,0.4,2022-12-21 05:00:00+00:00
2022-12-21 05:10:00+00:00,0.2,,,,-1.0,,,,2022-12-21 05:10:00+00:00
2022-12-21 05:20:00+00:00,0.2,,,,-1.0,,,,2022-12-21 05:20:00+00:00
