referenceTime,surface_snow_thickness,surface_temperature,air_temperature,wind_speed,wind_from_direction,sum(precipitation_amount PT1H),relative_humidity,dew_point_temperature,time
2024-02-23 09:40:00+00:00,56,-1.9,,,,,,,2024-02-23 09:40:00+00:00
2024-02-23 09:50:00+00:00,56,-1.8,,,,,,,2024-02-23 09:50:00+00:00
2024-02-23 10:00:00+00:00,57,-1.8,-1.8,0.0,0.0,2.2,94.0,-2.4,2024-02-23 10:00:00+00:00
2024-02-23 10:10:00+00:00,58,-1.7,,,,,,,2024-02-23 10:10:00+00:00
2024-02-23 10:20:00+00:00,58,-1.6,,,,,,,2024-02-23 10:20:00+00:00
2024-02-23 10:30:00+00:00,59,-1.3,,,,,,,2024-02-23 10:30:00+00:00
2024-02-23 10:40:00+00:00,59,-1.2,,,,,,,2024-02-23 10:40:00+00:00
2024-02-23 10:50:00+00:00,60,-1.4,,,,,,,2024-02-23 10:50:00+00:00
2024-02-23 11:00:00+00:00,60,-1.5,-1.4,0.0,0.0,1.8,94.0,-2.2,2024-02-23 11:00:00+00:00
2024-02-23 11:10:00+00:00,59,-1.4,,,,,,,2024-02-23 11:10:00+00:00
2024-02-23 11:20:00+00:00,59,-1.2,,,,,,,2024-02-23 11:20:00+00:00
2024-02-23 11:30:00+00:00,59,-1.1,,,,,,,2024-02-23 11:30:00+00:00
2024-02-23 11:40:00+00:00,59,-1.0,,,,,,,2024-02-23 11:40:00+00:00
2024-02-23 11:50:00+00:00,60,-1.1,,,,,,,2024-02-23 11:50:00+00:00
2024-02-23 12:00:00+00:00,60,-1.0,-0.9,0.0,0.0,1.3,96.0,-1.4,2024-02-23 12:00:00+00:00
2024-02-23 12:10:00+00:00,60,-1.0,,,,,,,2024-02-23 12:10:00+00:00
2024-02-23 12:20:00+00:00,60,-0.8,,,,,,,2024-02-23 12:20:00+00:00
2024-02-23 12:30:00+00:00,61,-0.7,,,,,,,2024-02-23 12:30:00+00:00
2024-02-23 12:40:00+00:00,61,-0.4,,,,,,,2024-02-23 12:40:00+00:00
2024-02-23 12:50:00+00:00,61,-0.3,,,,,,,2024-02-23 12:50:00+00:00
2024-02-23 13:00:00+00:00,61,-0.2,-0.1,5.1,122.0,2.6,93.0,-0.9,2024-02-23 13:00:00+00:00
2024-02-23 13:10:00+00:00,61,-0.2,,,,,,,2024-02-23 13:10:00+00:00
2024-02-23 13:20:00+00:00,61,-0.1,,,,,,,2024-02-23 13:20:00+00:00
2024-02-23 13:30:00+00:00,61,-0.3,,,,,,,2024-02-23 13:30:00+00:00
2024-02-23 13:40:00+00:00,61,-0.4,,,,,,,2024-02-23 13:40:00+00:00
2024-02-23 13:50:00+00:00,61,-0.9,,,,,,,2024-02-23 13:50:00+00:00
2024-02-23 14:00:00+00:00,61,-0.8,0.0,3.8,165.0,0.5,87.0,-1.9,2024-02-23 14:00:00+00:00
2024-02-23 14:10:00+00:00,61,-0.7,,,,,,,2024-02-23 14:10:00+00:00
2024-02-23 14:20:00+00:00,61,-1.4,,,,,,,2024-02-23 14:20:00+00:00
2024-02-23 14:30:00+00:00,61,-0.6,,,,,,,2024-02-23 14:30:00+00:00
2024-02-23 14:40:00+00:00,61,-0.4,,,,,,,2024-02-23 14:40:00+00:00
2024-02-23 14:50:00+00:00,60,-0.4,,,,,,,2024-02-23 14:50:00+00:00
2024-02-23 15:00:00+00:00,60,-0.4,0.1,3.5,145.0,0.6,88.0,-1.4,2024-02-23 15:00:00+00:00
2024-02-23 15:10:00+00:00,60,-0.2,,,,,,,2024-02-23 15:10:00+00:00
2024-02-23 15:20:00+00:00,60,-0.3,,,,,,,2024-02-23 15:20:00+00:00
2024-02-23 15:30:00+00:00,60,-0.1,,,,,,,2024-02-23 15:30:00+00:00
2024-02-23 15:40:00+00:00,60,-0.4,,,,,,,2024-02-23 15:40:00+00:00
2024-02-23 15:50:00+00:00,60,-0.8,,,,,,,2024-02-23 15:50:00+00:00
2024-02-23 16:00:00+00:00,60,-1.1,0.1,1.9,202.0,0.6,86.0,-1.9,2024-02-23 16:00:00+00:00
2024-02-23 16:10:00+00:00,60,-1.8,,,,,,,2024-02-23 16:10:00+00:00
2024-02-23 16:20:00+00:00,60,-0.9,,,,,,,2024-02-23 16:20:00+00:00
2024-02-23 16:30:00+00:00,60,-0.7,,,,,,,2024-02-23 16:30:00+00:00
2024-02-23 16:40:00+00:00,60,-2.5,,,,,,,2024-02-23 16:40:00+00:00
2024-02-23 16:50:00+00:00,60,-3.1,,,,,,,2024-02-23 16:50:00+00:00
2024-02-23 17:00:00+00:00,60,-1.7,-0.4,1.8,161.0,0.5,91.0,-1.7,2024-02-23 17:00:00+00:00
2024-02-23 17:10:00+00:00,60,-1.1,,,,,,,2024-02-23 17:10:00+00:00
2024-02-23 17:20:00+00:00,61,-1.3,,,,,,,2024-02-23 17:20:00+00:00
2024-02-23 17:30:00+00:00,61,-1.0,,,,,,,2024-02-23 17:30:00+00:00
2024-02-23 17:40:00+00:00,61,-1.1,,,,,,,2024-02-23 17:40:00+00:00
2024-02-23 17:50:00+00:00,61,-1.1,,,,,,,2024-02-23 17:50:00+00:00
2024-02-23 18:00:00+00:00,61,-1.0,-0.6,1.4,143.0,0.8,97.0,-1.2,2024-02-23 18:00:00+00:00
2024-02-23 18:10:00+00:00,61,-0.9,,,,,,,2024-02-23 18:10:00+00:00
2024-02-23 18:20:00+00:00,61,-1.0,,,,,,,2024-02-23 18:20:00+00:00
2024-02-23 18:30:00+00:00,61,-0.9,,,,,,,2024-02-23 18:30:00+00:00
2024-02-23 18:40:00+00:00,61,-0.9,,,,,,,2024-02-23 18:40:00+00:00
2024-02-23 18:50:00+00:00,61,-0.9,,,,,,,2024-02-23 18:50:00+00:00
2024-02-23 19:00:00+00:00,61,-1.9,-0.6,2.1,166.0,0.6,96.0,-1.2,2024-02-23 19:00:00+00:00
2024-02-23 19:10:00+00:00,61,-1.1,,,,,,,2024-02-23 19:10:00+00:00
2024-02-23 19:20:00+00:00,61,-1.1,,,,,,,2024-02-23 19:20:00+00:00
2024-02-23 19:30:00+00:00,61,-1.1,,,,,,,2024-02-23 19:30:00+00:00
2024-02-23 19:40:00+00:00,61,-1.4,,,,,,,2024-02-23 19:40:00+00:00
2024-02-23 19:50:00+00:00,61,-1.0,,,,,,,2024-02-23 19:50:00+00:00
2024-02-23 20:00:00+00:00,61,-1.4,-0.5,1.8,156.0,0.0,95.0,-1.2,2024-02-23 20:00:00+00:00
2024-02-23 20:10:00+00:00,61,-1.8,,,,,,,2024-02-23 20:10:00+00:00
2024-02-23 20:20:00+00:00,61,-1.3,,,,,,,2024-02-23 20:20:00+00:00
2024-02-23 20:30:00+00:00,61,-1.1,,,,,,,2024-02-23 20:30:00+00:00
2024-02-23 20:40:00+00:00,61,-1.0,,,,,,,2024-02-23 20:40:00+00:00
2024-02-23 20:50:00+00:00,61,-1.0,,,,,,,2024-02-23 20:50:00+00:00
2024-02-23 21:00:00+00:00,61,-0.9,-0.5,2.2,163.0,0.2,96.0,-0.9,2024-02-23 21:00:00+00:00
2024-02-23 21:10:00+00:00,61,-0.8,,,,,,,2024-02-23 21:10:00+00:00
2024-02-23 21:20:00+00:00,61,-0.8,,,,,,,2024-02-23 21:20:00+00:00
2024-02-23 21:30:00+00:00,61,-0.8,,,,,,,2024-02-23 21:30:00+00:00
2024-02-23 21:40:00+00:00,61,-0.7,,,,,,,2024-02-23 21:40:00+00:00
2024-02-23 21:50:00+00:00,61,-0.7,,,,,,,2024-02-23 21:50:00+00:00
2024-02-23 22:00:00+00:00,61,-0.7,-0.5,2.3,162.0,0.3,97.0,-0.9,2024-02-23 22:00:00+00:00
2024-02-23 22:10:00+00:00,61,-0.6,,,,,,,2024-02-23 22:10:00+00:00
2024-02-23 22:20:00+00:00,62,-0.7,,,,,,,2024-02-23 22:20:00+00:00
2024-02-23 22:30:00+00:00,62,-0.6,,,,,,,2024-02-23 22:30:00+00:00
2024-02-23 22:40:00+00:00,62,-0.8,,,,,,,2024-02-23 22:40:00+00:00
2024-02-23 22:50:00+00:00,62,-1.3,,,,,,,2024-02-23 22:50:00+00:00
2024-02-23 23:00:00+00:00,62,-0.8,-0.5,2.1,155.0,0.7,96.0,-0.9,2024-02-23 23:00:00+00:00
2024-02-23 23:10:00+00:00,62,-1.4,,,,,,,2024-02-23 23:10:00+00:00
2024-02-23 23:20:00+00:00,62,-1.6,,,,,,,2024-02-23 23:20:00+00:00
2024-02-23 23:30:00+00:00,62,-1.1,,,,,,,2024-02-23 23:30:00+00:00
2024-02-23 23:40:00+00:00,62,-1.1,,,,,,,2024-02-23 23:40:00+00:00
2024-02-23 23:50:00+00:00,62,-1.0,,,,,,,2024-02-23 23:50:00+00:00
2024-02-24 00:00:00+00:00,63,-0.8,-0.6,2.7,155.0,0.1,96.0,-1.2,2024-02-24 00:00:00+00:00
2024-02-24 00:10:00+00:00,63,-0.8,,,,,,,2024-02-24 00:10:00+00:00
2024-02-24 00:20:00+00:00,63,-1.1,,,,,,,2024-02-24 00:20:00+00:00
2024-02-24 00:30:00+00:00,62,-0.9,,,,,,,2024-02-24 00:30:00+00:00
2024-02-24 00:40:00+00:00,62,-0.8,,,,,,,2024-02-24 00:40:00+00:00
2024-02-24 00:50:00+00:00,62,-0.8,,,,,,,2024-02-24 00:50:00+00:00
2024-02-24 01:00:00+00:00,62,-0.9,-0.5,1.5,163.0,0.1,96.0,-0.9,2024-02-24 01:00:00+00:00
2024-02-24 01:10:00+00:00,63,-0.8,,,,,,,2024-02-24 01:10:00+00:00
2024-02-24 01:20:00+00:00,63,-0.8,,,,,,,2024-02-24 01:20:00+00:00
2024-02-24 01:30:00+00:00,63,-0.8,,,,,,,2024-02-24 01:30:00+00:00
2024-02-24 01:40:00+00:00,63,-0.8,,,,,,,2024-02-24 01:40:00+00:00
2024-02-24 01:50:00+00:00,63,-0.8,,,,,,,2024-02-24 01:50:00+00:00
2024-02-24 02:00:00+00:00,63,-0.8,-0.5,1.2,156.0,0.1,97.0,-0.9,2024-02-24 02:00:00+00:00
2024-02-24 02:10:00+00:00,63,-0.8,,,,,,,2024-02-24 02:10:00+00:00
2024-02-24 02:20:00+00:00,63,-0.7,,,,,,,2024-02-24 02:20:00+00:00
2024-02-24 02:30:00+00:00,63,-0.7,,,,,,,2024-02-24 02:30:00+00:00
2024-02-24 02:40:00+00:00,63,-0.7,,,,,,,2024-02-24 02:40:00+00:00
2024-02-24 02:50:00+00:00,63,-0.7,,,,,,,2024-02-24 02:50:00+00:00
2024-02-24 03:00:00+00:00,63,-0.7,-0.4,1.6,158.0,0.1,96.0,-0.9,2024-02-24 03:00:00+00:00
2024-02-24 03:10:00+00:00,63,-0.7,,,,,,,2024-02-24 03:10:00+00:00
2024-02-24 03:20:00+00:00,63,-0.6,,,,,,,2024-02-24 03:20:00+00:00
2024-02-24 03:30:00+00:00,63,-0.6,,,,,,,2024-02-24 03:30:00+00:00
2024-02-24 03:40:00+00:00,63,-0.7,,,,,,,2024-02-24 03:40:00+00:00
2024-02-24 03:50:00+00:00,63,-1.0,,,,,,,2024-02-24 03:50:00+00:00
2024-02-24 04:00:00+00:00,63,-1.0,-0.4,2.7,149.0,0.2,97.0,-0.9,2024-02-24 04:00:00+00:00
2024-02-24 04:10:00+00:00,63,-1.0,,,,,,,2024-02-24 04:10:00+00:00
2024-02-24 04:20:00+00:00,63,-0.9,,,,,,,2024-02-24 04:20:00+00:00
2024-02-24 04:30:00+00:00,63,-1.0,,,,,,,2024-02-24 04:30:00+00:00
2024-02-24 04:40:00+00:00,63,-0.9,,,,,,,2024-02-24 04:40:00+00:00
2024-02-24 04:50:00+00:00,63,-0.8,,,,,,,2024-02-24 04:50:00+00:00
2024-02-24 05:00:00+00:00,63,-0.8,-0.4,1.5,151.0,0.0,96.0,-0.9,2024-02-24 05:00:00+00:00
2024-02-24 05:10:00+00:00,63,-0.7,,,,,,,2024-02-24 05:10:00+00:00
2024-02-24 05:20:00+00:00,63,-0.7,,,,,,,2024-02-24 05:20:00+00:00
2024-02-24 05:30:00+00:00,63,-0.8,,,,,,,2024-02-24 05:30:00+00:00
2024-02-24 05:40:00+00:00,63,-0.7,,,,,,,2024-02-24 05:40:00+00:00
2024-02-24 05:50:00+00:00,63,-0.8,,,,,,,2024-02-24 05:50:00+00:00
2024-02-24 06:00:00+00:00,63,-0.7,-0.3,1.4,157.0,0.1,96.0,-0.7,2024-02-24 06:00:00+00:00
2024-02-24 06:10:00+00:00,64,-0.7,,,,,,,2024-02-24 06:10:00+00:00
2024-02-24 06:20:00+00:00,64,-0.7,,,,,,,2024-02-24 06:20:00+00:00
2024-02-24 06:30:00+00:00,64,-0.8,,,,,,,2024-02-24 06:30:00+00:00
2024-02-24 06:40:00+00:00,64,-0.8,,,,,,,2024-02-24 06:40:00+00:00
2024-02-24 06:50:00+00:00,64,-0.7,,,,,,,2024-02-24 06:50:00+00:00
2024-02-24 07:00:00+00:00,64,-0.9,-0.3,1.3,139.0,0.3,95.0,-0.9,2024-02-24 07:00:00+00:00
2024-02-24 07:10:00+00:00,64,-0.9,,,,,,,2024-02-24 07:10:00+00:00
2024-02-24 07:20:00+00:00,64,-0.7,,,,,,,2024-02-24 07:20:00+00:00
2024-02-24 07:30:00+00:00,64,-0.7,,,,,,,2024-02-24 07:30:00+00:00
2024-02-24 07:40:00+00:00,64,-0.7,,,,,,,2024-02-24 07:40:00+00:00
2024-02-24 07:50:00+00:00,64,-0.8,,,,,,,2024-02-24 07:50:00+00:00
2024-02-24 08:00:00+00:00,64,-0.7,0.2,1.7,152.0,0.0,90.0,-1.2,2024-02-24 08:00:00+00:00
2024-02-24 08:10:00+00:00,64,-0.8,,,,,,,2024-02-24 08:10:00+00:00
2024-02-24 08:20:00+00:00,64,-0.9,,,,,,,2024-02-24 08:20:00+00:00
2024-02-24 08:30:00+00:00,64,-1.2,,,,,,,2024-02-24 08:30:00+00:00
2024-02-24 08:40:00+00:00,64,-0.7,,,,,,,2024-02-24 08:40:00+00:00
2024-02-24 08:50:00+00:00,64,-0.5,,,,,,,2024-02-24 08:50:00+00:00
2024-02-24 09:00:00+00:00,64,-0.4,0.6,2.1,157.0,0.0,87.0,-1.2,2024-02-24 09:00:00+00:00
2024-02-24 09:10:00+00:00,64,-0.2,,,,,,,2024-02-24 09:10:00+00:00
2024-02-24 09:20:00+00:00,64,-0.2,,,,,,,2024-02-24 09:20:00+00:00
2024-02-24 09:30:00+00:00,64,-0.2,,,,,,,2024-02-24 09:30:00+00:00
2024-02-24 09:40:00+00:00,64,-0.1,,,,,,,2024-02-24 09:40:00+00:00
2024-02-24 09:50:00+00:00,64,0.3,,,,,,,2024-02-24 09:50:00+00:00
2024-02-24 10:00:00+00:00,64,0.2,1.1,2.6,152.0,0.6,84.0,-1.4,2024-02-24 10:00:00+00:00
2024-02-24 10:10:00+00:00,63,0.6,,,,,,,2024-02-24 10:10:00+00:00
2024-02-24 10:20:00+00:00,63,0.4,,,,,,,2024-02-24 10:20:00+00:00
2024-02-24 10:30:00+00:00,63,0.3,,,,,,,2024-02-24 10:30:00+00:00
2024-02-24 10:40:00+00:00,63,0.3,,,,,,,2024-02-24 10:40:00+00:00
2024-02-24 10:50:00+00:00,63,0.7,,,,,,,2024-02-24 10:50:00+00:00
2024-02-24 11:00:00+00:00,63,0.8,1.8,1.5,147.0,0.1,81.0,-0.9,2024-02-24 11:00:00+00:00
2024-02-24 11:10:00+00:00,63,0.8,,,,,,,2024-02-24 11:10:00+00:00
2024-02-24 11:20:00+00:00,63,0.7,,,,,,,2024-02-24 11:20:00+00:00
2024-02-24 11:30:00+00:00,63,0.7,,,,,,,2024-02-24 11:30:00+00:00
2024-02-24 11:40:00+00:00,63,0.9,,,,,,,2024-02-24 11:40:00+00:00
2024-02-24 11:50:00+00:00,63,0.9,,,,,,,2024-02-24 11:50:00+00:00
2024-02-24 12:00:00+00:00,63,0.8,1.9,2.2,154.0,0.0,78.0,-1.4,2024-02-24 12:00:00+00:00
2024-02-24 12:10:00+00:00,63,0.7,,,,,,,2024-02-24 12:10:00+00:00
2024-02-24 12:20:00+00:00,63,0.7,,,,,,,2024-02-24 12:20:00+00:00
2024-02-24 12:30:00+00:00,63,0.8,,,,,,,2024-02-24 12:30:00+00:00
2024-02-24 12:40:00+00:00,63,0.7,,,,,,,2024-02-24 12:40:00+00:00
2024-02-24 12:50:00+00:00,63,0.7,,,,,,,2024-02-24 12:50:00+00:00
2024-02-24 13:00:00+00:00,62,0.4,1.9,1.9,153.0,0.0,79.0,-1.4,2024-02-24 13:00:00+00:00
2024-02-24 13:10:00+00:00,62,0.7,,,,,,,2024-02-24 13:10:00+00:00
