referenceTime,air_temperature,wind_speed,wind_from_direction,surface_snow_thickness,sum(precipitation_amount PT1H),relative_humidity,surface_temperature,dew_point_temperature,time
2024-04-03 06:00:00+00:00,-0.4,2.8,141.0,29,0.0,69.0,-1.9,-5.3,2024-04-03 06:00:00+00:00
2024-04-03 06:10:00+00:00,,,,29,,,-1.8,,2024-04-03 06:10:00+00:00
2024-04-03 06:20:00+00:00,,,,29,,,-1.8,,2024-04-03 06:20:00+00:00
2024-04-03 06:30:00+00:00,,,,29,,,-1.8,,2024-04-03 06:30:00+00:00
2024-04-03 06:40:00+00:00,,,,29,,,-1.7,,2024-04-03 06:40:00+00:00
2024-04-03 06:50:00+00:00,,,,29,,,-1.5,,2024-04-03 06:50:00+00:00
2024-04-03 07:00:00+00:00,-0.3,3.7,128.0,29,0.0,69.0,-1.6,-5.3,2024-04-03 07:00:00+00:00
2024-04-03 07:10:00+00:00,,,,29,,,-1.6,,2024-04-03 07:10:00+00:00
2024-04-03 07:20:00+00:00,,,,29,,,-1.5,,2024-04-03 07:20:00+00:00
2024-04-03 07:30:00+00:00,,,,29,,,-1.4,,2024-04-03 07:30:00+00:00
2024-04-03 07:40:00+00:00,,,,29,,,-1.4,,2024-04-03 07:40:00+00:00
2024-04-03 07:50:00+00:00,,,,29,,,-1.2,,2024-04-03 07:50:00+00:00
2024-04-03 08:00:00+00:00,0.0,2.4,138.0,29,0.0,68.0,-1.2,-5.3,2024-04-03 08:00:00+00:00
2024-04-03 08:10:00+00:00,,,,29,,,-1.1,,2024-04-03 08:10:00+00:00
2024-04-03 08:20:00+00:00,,,,29,,,-1.2,,2024-04-03 08:20:00+00:00
2024-04-03 08:30:00+00:00,,,,29,,,-1.1,,2024-04-03 08:30:00+00:00
2024-04-03 08:40:00+00:00,,,,29,,,-1.0,,2024-04-03 08:40:00+00:00
2024-04-03 08:50:00+00:00,,,,29,,,-1.1,,2024-04-03 08:50:00+00:00
2024-04-03 09:00:00+00:00,0.1,4.7,130.0,29,0.0,67.0,-0.9,-5.0,2024-04-03 09:00:00+00:00
2024-04-03 09:10:00+00:00,,,,29,,,-0.9,,2024-04-03 09:10:00+00:00
2024-04-03 09:20:00+00:00,,,,29,,,-0.8,,2024-04-03 09:20:00+00:00
2024-04-03 09:30:00+00:00,,,,29,,,-0.7,,2024-04-03 09:30:00+00:00
2024-04-03 09:40:00+00:00,,,,29,,,-0.6,,2024-04-03 09:40:00+00:00
2024-04-03 09:50:00+00:00,,,,29,,,-0.5,,2024-04-03 09:50:00+00:00
2024-04-03 10:00:00+00:00,0.5,3.1,114.0,29,0.0,66.0,-0.5,-5.0,2024-04-03 10:00:00+00:00
2024-04-03 10:10:00+00:00,,,,29,,,-0.3,,2024-04-03 10:10:00+00:00
2024-04-03 10:20:00+00:00,,,,29,,,-0.2,,2024-04-03 10:20:00+00:00
2024-04-03 10:30:00+00:00,,,,29,,,-0.1,,2024-04-03 10:30:00+00:00
2024-04-03 10:40:00+00:00,,,,29,,,0.1,,2024-04-03 10:40:00+00:00
2024-04-03 10:50:00+00:00,,,,29,,,-0.1,,2024-04-03 10:50:00+00:00
2024-04-03 11:00:00+00:00,0.6,3.8,124.0,29,0.0,65.0,0.2,-5.0,2024-04-03 11:00:00+00:00
2024-04-03 11:10:00+00:00,,,,29,,,0.2,,2024-04-03 11:10:00+00:00
2024-04-03 11:20:00+00:00,,,,29,,,0.3,,2024-04-03 11:20:00+00:00
2024-04-03 11:30:00+00:00,,,,29,,,0.3,,2024-04-03 11:30:00+00:00
2024-04-03 11:40:00+00:00,,,,29,,,0.2,,2024-04-03 11:40:00+00:00
2024-04-03 11:50:00+00:00,,,,29,,,0.3,,2024-04-03 11:50:00+00:00
2024-04-03 12:00:00+00:00,0.8,4.1,117.0,29,0.0,61.0,0.3,-5.7,2024-04-03 12:00:00+00:00
2024-04-03 12:10:00+00:00,,,,29,,,0.3,,2024-04-03 12:10:00+00:00
2024-04-03 12:20:00+00:00,,,,29,,,0.3,,2024-04-03 12:20:00+00:00
2024-04-03 12:30:00+00:00,,,,29,,,0.1,,2024-04-03 12:30:00+00:00
2024-04-03 12:40:00+00:00,,,,29,,,0.4,,2024-04-03 12:40:00+00:00
2024-04-03 12:50:00+00:00,,,,29,,,0.1,,2024-04-03 12:50:00+00:00
2024-04-03 13:00:00+00:00,0.9,4.3,121.0,29,0.0,61.0,0.0,-5.7,2024-04-03 13:00:00+00:00
2024-04-03 13:10:00+00:00,,,,29,,,0.0,,2024-04-03 13:10:00+00:00
2024-04-03 13:20:00+00:00,,,,29,,,-0.1,,2024-04-03 13:20:00+00:00
2024-04-03 13:30:00+00:00,,,,29,,,0.0,,2024-04-03 13:30:00+00:00
2024-04-03 13:40:00+00:00,,,,29,,,-0.2,,2024-04-03 13:40:00+00:00
2024-04-03 13:50:00+00:00,,,,29,,,-0.2,,2024-04-03 13:50:00+00:00
2024-04-03 14:00:00+00:00,0.8,5.0,117.0,29,0.0,61.0,-0.2,-5.7,2024-04-03 14:00:00+00:00
2024-04-03 14:10:00+00:00,,,,29,,,-0.1,,2024-04-03 14:10:00+00:00
2024-04-03 14:20:00+00:00,,,,29,,,-0.1,,2024-04-03 14:20:00+00:00
2024-04-03 14:30:00+00:00,,,,29,,,-0.2,,2024-04-03 14:30:00+00:00
2024-04-03 14:40:00+00:00,,,,29,,,0.0,,2024-04-03 14:40:00+00:00
2024-04-03 14:50:00+00:00,,,,29,,,-0.2,,2024-04-03 14:50:00+00:00
