referenceTime,surface_snow_thickness,surface_temperature,air_temperature,sum(precipitation_amount PT1H),relative_humidity,dew_point_temperature,wind_speed,wind_from_direction,time
2024-12-30 18:10:00+00:00,19,-6.8,,,,,,,2024-12-30 18:10:00+00:00
2024-12-30 18:20:00+00:00,19,-7.3,,,,,,,2024-12-30 18:20:00+00:00
2024-12-30 18:30:00+00:00,19,-7.9,,,,,,,2024-12-30 18:30:00+00:00
2024-12-30 18:40:00+00:00,19,-8.1,,,,,,,2024-12-30 18:40:00+00:00
2024-12-30 18:50:00+00:00,19,-7.7,,,,,,,2024-12-30 18:50:00+00:00
2024-12-30 19:00:00+00:00,19,-8.4,-4.9,0.0,88.0,-6.7,,,2024-12-30 19:00:00+00:00
2024-12-30 19:10:00+00:00,19,-9.0,,,,,,,2024-12-30 19:10:00+00:00
2024-12-30 19:20:00+00:00,19,-7.8,,,,,,,2024-12-30 19:20:00+00:00
2024-12-30 19:30:00+00:00,19,-6.3,,,,,,,2024-12-30 19:30:00+00:00
2024-12-30 19:40:00+00:00,19,-5.9,,,,,,,2024-12-30 19:40:00+00:00
2024-12-30 19:50:00+00:00,19,-5.9,,,,,,,2024-12-30 19:50:00+00:00
2024-12-30 20:00:00+00:00,19,-7.5,-4.5,0.0,86.0,-6.3,,,2024-12-30 20:00:00+00:00
2024-12-30 20:10:00+00:00,19,-6.2,,,,,,,2024-12-30 20:10:00+00:00
2024-12-30 20:20:00+00:00,19,-5.3,,,,,,,2024-12-30 20:20:00+00:00
2024-12-30 20:30:00+00:00,19,-4.8,,,,,,,2024-12-30 20:30:00+00:00
2024-12-30 20:40:00+00:00,19,-4.7,,,,,,,2024-12-30 20:40:00+00:00
2024-12-30 20:50:00+00:00,19,-4.4,,,,,,,2024-12-30 20:50:00+00:00
2024-12-30 21:00:00+00:00,19,-5.1,-4.0,0.0,93.0,-5.0,,,2024-12-30 21:00:00+00:00
2024-12-30 21:10:00+00:00,19,-4.3,,,,,,,2024-12-30 21:10:00+00:00
2024-12-30 21:20:00+00:00,19,-4.3,,,,,,,2024-12-30 21:20:00+00:00
2024-12-30 21:30:00+00:00,19,-6.1,,,,,,,2024-12-30 21:30:00+00:00
2024-12-30 21:40:00+00:00,19,-6.9,,,,,,,2024-12-30 21:40:00+00:00
2024-12-30 21:50:00+00:00,19,-9.2,,,,,,,2024-12-30 21:50:00+00:00
2024-12-30 22:00:00+00:00,19,-10.4,-5.1,0.0,90.0,-6.3,,,2024-12-30 22:00:00+00:00
