timestamp,air_temperature,surface_snow_thickness,wind_speed,wind_from_direction,relative_humidity,max_wind_gust,max_wind_speed,min_temperature,max_temperature,precipitation_duration,precipitation_amount,dew_point
2018-02-06 14:00:00,,,,,,,,,,0.0,,
2018-02-06 15:00:00,,,,,,,,,,,0.0,
2018-02-06 16:00:00,,,,,,,,,,,0.1,
2018-02-06 17:00:00,-6.1,,,,65.0,,,,,,0.0,-11.6
2018-02-06 18:00:00,-6.3,,,,66.0,,,-6.3,-6.0,,0.0,-11.6
2018-02-06 19:00:00,-6.1,,,,61.0,,,-6.3,-5.8,19.0,0.0,-12.1
2018-02-06 20:00:00,-6.3,,,,63.0,,,-6.4,-6.0,11.0,0.0,-12.1
2018-02-06 21:00:00,-6.0,,,,61.0,,,-6.2,-5.9,2.0,0.0,-12.1
2018-02-06 22:00:00,-5.8,,,,62.0,,,-6.0,-5.7,12.0,0.0,-11.6
2018-02-06 23:00:00,-5.8,,,,63.0,,,-6.0,-5.7,54.0,0.0,-11.6
2018-02-07 00:00:00,-5.8,,,,75.0,,,-6.3,-5.8,48.0,0.1,-9.4
2018-02-07 01:00:00,-5.6,,,,84.0,,,-5.9,-5.5,33.0,0.0,-7.8
2018-02-07 02:00:00,-5.2,,,,91.0,,,-5.6,-5.2,47.0,0.0,-6.3
2018-02-07 03:00:00,-4.6,,,,93.0,,,-5.2,-4.6,59.0,0.1,-5.7
2018-02-07 04:00:00,-4.2,,,,92.0,,,-4.6,-4.2,59.0,0.1,-5.3
2018-02-07 05:00:00,-3.8,,,,92.0,,,-4.2,-3.8,59.0,0.2,-5.0
2018-02-07 06:00:00,-3.5,,,,92.0,,,-3.8,-3.5,59.0,0.3,-4.7
2018-02-07 07:00:00,-3.3,,,,93.0,,,-3.5,-3.3,59.0,0.1,-4.1
2018-02-07 08:00:00,-2.9,,,,95.0,,,-3.3,-2.9,59.0,0.1,-3.5
2018-02-07 09:00:00,-2.6,,,,93.0,,,-2.8,-2.4,47.0,0.3,-3.5
2018-02-07 10:00:00,-2.2,,,,92.0,,,-2.8,-2.1,59.0,1.1,-3.3
2018-02-07 11:00:00,-2.4,,,,91.0,,,-2.5,-2.0,59.0,1.1,-3.8
2018-02-07 12:00:00,-1.8,,,,91.0,,,-2.8,-1.2,59.0,0.2,-3.0
2018-02-07 13:00:00,-1.8,,,,91.0,,,-2.0,-1.3,29.0,0.1,-3.0
2018-02-07 14:00:00,-3.0,,,,96.0,,,-3.0,-1.6,26.0,0.0,-3.5
2018-02-07 15:00:00,-2.9,,,,85.0,,,-3.0,-2.7,6.0,0.0,-5.0
2018-02-07 16:00:00,-3.4,,,,88.0,,,-3.4,-2.9,1.0,0.0,-5.0
2018-02-07 17:00:00,-4.2,,,,89.0,,,-4.2,-3.4,15.0,0.0,-5.7
2018-02-07 18:00:00,-3.9,,,,89.0,,,-4.9,-3.7,21.0,0.0,-5.3
2018-02-07 19:00:00,-4.1,,,,91.0,,,-4.3,-3.9,40.0,0.0,-5.3
2018-02-07 20:00:00,-4.1,,,,91.0,,,-4.6,-4.0,59.0,1.8,-5.3
2018-02-07 21:00:00,-4.0,,,,94.0,,,-4.4,-4.0,21.0,0.2,-5.0
2018-02-07 22:00:00,-4.0,,0.0,0.0,93.0,0.0,0.0,-4.0,-3.9,47.0,0.4,-5.0
2018-02-07 23:00:00,-4.0,,0.0,0.0,93.0,0.0,0.0,-4.0,-3.9,59.0,1.8,-5.0
2018-02-08 00:00:00,-4.2,,0.0,0.0,92.0,0.0,0.0,-4.2,-3.9,19.0,0.3,-5.3
2018-02-08 01:00:00,-4.7,,0.0,0.0,91.0,0.0,0.0,-5.0,-4.2,0.0,0.0,-6.0
2018-02-08 02:00:00,-4.7,,0.0,0.0,90.0,0.0,0.0,-4.8,-4.5,0.0,0.0,-6.0
2018-02-08 03:00:00,-4.2,,0.0,0.0,88.0,0.0,0.0,-4.7,-4.2,0.0,0.0,-5.7
2018-02-08 04:00:00,-3.6,,0.0,0.0,86.0,0.0,0.0,-4.2,-3.6,10.0,0.0,-5.7
2018-02-08 05:00:00,-3.2,,0.0,0.0,88.0,0.0,0.0,-3.5,-3.2,44.0,0.1,-5.0
2018-02-08 06:00:00,-2.9,,0.2,360.0,88.0,1.9,0.2,-3.2,-2.9,13.0,0.0,-4.7
2018-02-08 07:00:00,-3.1,,0.7,360.0,92.0,2.1,0.7,-3.2,-2.8,59.0,0.5,-4.1
2018-02-08 08:00:00,-2.9,,0.2,360.0,94.0,2.6,0.9,-3.1,-2.9,59.0,0.5,-3.8
2018-02-08 09:00:00,-2.4,,1.7,360.0,94.0,3.2,1.8,-2.9,-2.4,59.0,0.9,-3.3
2018-02-08 10:00:00,-1.7,,1.2,360.0,93.0,3.2,1.2,-2.4,-2.4,5.0,0.0,-2.7
2018-02-08 11:00:00,-1.3,,1.5,360.0,93.0,4.5,2.0,-1.8,-1.3,59.0,1.4,-2.2
2018-02-08 12:00:00,-1.1,,1.0,360.0,93.0,4.0,1.7,-1.4,-0.9,59.0,1.0,-2.2
2018-02-08 13:00:00,-1.1,,0.9,360.0,93.0,3.2,1.5,-1.2,-1.0,59.0,1.1,-2.2
2018-02-08 14:00:00,-1.0,,0.9,360.0,95.0,2.5,1.3,-1.1,-1.0,59.0,1.7,-1.7
2018-02-08 15:00:00,-1.0,,1.0,360.0,96.0,2.8,1.3,-1.0,-0.9,59.0,1.9,-1.4
2018-02-08 16:00:00,-0.9,,1.3,360.0,96.0,3.1,1.4,-1.0,-0.9,59.0,1.3,-1.4
2018-02-08 17:00:00,-0.8,,1.6,360.0,94.0,3.8,1.6,-0.9,-0.8,59.0,1.2,-1.4
2018-02-08 18:00:00,-0.7,,1.3,360.0,92.0,3.6,1.9,-0.9,-0.7,59.0,1.0,-1.9
2018-02-08 19:00:00,-0.6,,1.1,360.0,93.0,3.2,1.4,-0.8,-0.5,58.0,1.1,-1.7
2018-02-08 20:00:00,-0.2,,1.9,360.0,88.0,4.1,2.1,-0.7,-0.2,37.0,0.3,-1.9
2018-02-08 21:00:00,-0.1,,2.3,360.0,87.0,6.1,2.4,-0.3,0.0,12.0,0.1,-1.9
2018-02-08 22:00:00,-0.4,,2.5,360.0,90.0,5.9,3.3,-0.4,-0.1,19.0,0.3,-1.9
2018-02-08 23:00:00,0.2,,3.8,360.0,84.0,6.8,3.9,-0.5,0.3,20.0,0.3,-2.2
2018-02-09 00:00:00,0.1,,2.5,360.0,85.0,7.6,4.3,-0.2,0.3,35.0,0.3,-1.9
2018-02-09 01:00:00,0.4,,3.5,360.0,82.0,7.5,3.8,-0.4,0.5,38.0,0.4,-2.2
2018-02-09 02:00:00,-0.2,,4.8,360.0,92.0,9.3,5.4,-0.2,0.5,56.0,0.7,-1.4
2018-02-09 03:00:00,0.2,,4.3,360.0,87.0,8.6,5.1,-0.4,0.2,37.0,0.4,-1.7
2018-02-09 04:00:00,0.4,,4.9,360.0,84.0,9.0,5.1,-0.1,0.5,24.0,0.4,-1.9
2018-02-09 05:00:00,0.5,,4.9,360.0,83.0,9.7,5.3,0.2,0.6,20.0,0.1,-2.2
2018-02-09 06:00:00,0.5,,4.8,360.0,82.0,9.9,5.2,0.4,0.7,7.0,0.0,-2.2
2018-02-09 07:00:00,0.1,,5.8,360.0,90.0,11.5,6.2,0.1,0.5,40.0,0.1,-1.2
2018-02-09 08:00:00,0.5,,5.7,360.0,87.0,11.4,6.2,0.1,0.5,33.0,0.1,-1.4
2018-02-09 09:00:00,0.8,,5.8,360.0,83.0,11.3,5.9,0.5,0.8,8.0,0.0,-1.7
2018-02-09 10:00:00,0.8,,4.4,360.0,83.0,10.2,6.0,0.6,0.9,5.0,0.0,-1.7
2018-02-09 11:00:00,0.3,,3.5,360.0,87.0,7.4,4.3,0.3,0.8,4.0,0.0,-1.7
2018-02-09 12:00:00,0.4,,2.6,360.0,83.0,7.0,4.5,0.3,0.6,6.0,0.0,-2.2
2018-02-09 13:00:00,0.3,,3.3,360.0,84.0,6.6,3.7,0.3,0.5,4.0,0.0,-2.2
2018-02-09 14:00:00,0.2,,2.9,360.0,83.0,7.0,4.1,0.2,0.4,2.0,0.0,-2.5
2018-02-09 15:00:00,0.2,,3.0,360.0,81.0,7.1,3.7,0.2,0.3,3.0,0.0,-2.7
2018-02-09 16:00:00,0.0,,3.2,360.0,81.0,6.0,3.4,-0.2,0.3,9.0,0.0,-3.0
2018-02-09 17:00:00,-0.1,,4.2,360.0,78.0,8.7,4.4,-0.1,0.1,1.0,0.0,-3.3
2018-02-09 18:00:00,-0.2,,3.0,360.0,78.0,7.7,4.1,-0.2,0.0,0.0,0.0,-3.5
2018-02-09 19:00:00,-0.7,,3.8,360.0,80.0,7.4,3.9,-0.7,-0.2,3.0,0.0,-3.8
2018-02-09 20:00:00,-0.9,,3.3,360.0,78.0,7.7,4.4,-0.9,-0.7,1.0,0.0,-4.4
2018-02-09 21:00:00,-1.3,,3.9,360.0,78.0,7.3,4.4,-1.3,-0.9,0.0,0.0,-4.4
2018-02-09 22:00:00,-1.1,,4.2,360.0,75.0,8.0,4.2,-1.4,-1.1,0.0,0.0,-5.0
2018-02-09 23:00:00,-1.3,,2.9,360.0,74.0,6.6,4.3,-1.4,-1.2,0.0,0.0,-5.3
2018-02-10 00:00:00,-1.4,,3.8,360.0,75.0,8.6,3.9,-1.5,-1.2,0.0,0.0,-5.3
2018-02-10 01:00:00,-1.6,,4.4,360.0,75.0,8.5,4.5,-1.7,-1.4,0.0,0.0,-5.3
2018-02-10 02:00:00,-1.9,,3.4,360.0,74.0,9.0,5.1,-1.9,-1.6,0.0,0.0,-6.0
2018-02-10 03:00:00,-1.7,,3.7,360.0,71.0,7.7,4.2,-2.0,-1.7,0.0,0.0,-6.3
2018-02-10 04:00:00,-2.0,,2.3,360.0,73.0,7.7,3.7,-2.1,-1.7,1.0,0.0,-6.0
2018-02-10 05:00:00,-2.3,,3.3,360.0,77.0,6.4,3.4,-2.3,-2.0,4.0,0.0,-5.7
2018-02-10 06:00:00,-2.6,,3.6,360.0,83.0,6.5,3.8,-2.7,-2.3,28.0,0.1,-5.0
2018-02-10 07:00:00,-2.7,,4.0,360.0,83.0,8.0,4.0,-3.0,-2.6,46.0,0.3,-5.0
2018-02-10 08:00:00,-2.1,,5.1,360.0,77.0,8.6,5.2,-3.0,-2.1,33.0,0.2,-5.7
2018-02-10 09:00:00,-1.8,,3.7,360.0,72.0,7.7,5.2,-2.2,-1.8,9.0,0.0,-6.0
2018-02-10 10:00:00,-1.7,,3.5,360.0,71.0,7.9,4.3,-2.0,-1.7,1.0,0.0,-6.3
2018-02-10 11:00:00,-1.7,,6.4,360.0,73.0,9.7,6.4,-1.7,-1.6,0.0,0.0,-6.0
2018-02-10 12:00:00,-2.0,,3.8,360.0,77.0,9.0,6.5,-2.1,-1.7,3.0,0.0,-5.3
2018-02-10 13:00:00,-1.9,,4.1,360.0,75.0,9.4,5.3,-2.1,-1.8,0.0,0.0,-5.7
2018-02-10 14:00:00,-2.0,,5.7,360.0,77.0,10.9,5.8,-2.1,-1.9,3.0,0.0,-5.3
2018-02-10 15:00:00,-2.1,,6.6,360.0,78.0,11.9,7.2,-2.3,-2.0,0.0,0.0,-5.3
2018-02-10 16:00:00,-2.0,,3.8,360.0,74.0,12.0,6.6,-2.2,-2.0,4.0,0.0,-6.0
2018-02-10 17:00:00,-1.8,,5.2,360.0,72.0,11.1,5.4,-2.0,-1.7,0.0,0.0,-6.0
2018-02-10 18:00:00,-2.3,,4.3,360.0,84.0,9.3,5.1,-2.3,-1.8,0.0,0.0,-4.4
2018-02-10 19:00:00,-1.5,,6.0,360.0,78.0,11.0,6.6,-2.5,-1.5,14.0,0.0,-4.7
2018-02-10 20:00:00,-1.1,,5.7,360.0,79.0,10.4,6.5,-1.4,-0.9,4.0,0.3,-4.4
2018-02-10 21:00:00,-0.6,,3.4,360.0,77.0,11.7,6.2,-1.2,-0.6,6.0,0.1,-4.1
2018-02-10 22:00:00,-0.4,,4.1,360.0,73.0,11.7,5.8,-0.6,-0.4,0.0,0.0,-4.7
2018-02-10 23:00:00,-0.7,,4.9,360.0,73.0,12.2,7.0,-0.7,-0.3,0.0,0.0,-5.0
2018-02-11 00:00:00,-0.5,,8.6,360.0,74.0,15.5,8.6,-0.8,-0.5,0.0,0.0,-4.4
2018-02-11 01:00:00,-0.9,,6.1,360.0,76.0,13.9,8.8,-1.0,-0.4,0.0,0.0,-4.7
2018-02-11 02:00:00,-1.1,,5.8,360.0,78.0,13.2,7.9,-1.1,-0.8,1.0,0.0,-4.4
2018-02-11 03:00:00,-1.3,,4.4,360.0,77.0,13.5,7.1,-1.3,-1.0,0.0,0.0,-4.7
2018-02-11 04:00:00,-1.4,,7.4,360.0,75.0,14.1,8.3,-1.5,-1.2,1.0,0.0,-5.3
2018-02-11 05:00:00,-1.5,,8.7,360.0,75.0,17.0,8.7,-1.6,-1.3,3.0,0.0,-5.3
2018-02-11 06:00:00,-1.9,,8.0,360.0,79.0,15.7,9.2,-1.9,-1.5,2.0,0.1,-5.0
2018-02-11 07:00:00,-2.0,,6.6,360.0,82.0,13.3,7.6,-2.1,-1.9,8.0,0.1,-4.7
2018-02-11 08:00:00,-2.1,,7.9,360.0,81.0,17.9,11.1,-2.2,-1.8,27.0,0.1,-5.0
2018-02-11 09:00:00,-2.3,,8.9,360.0,81.0,20.2,9.3,-2.4,-2.1,47.0,0.1,-5.0
2018-02-11 10:00:00,-2.1,,10.2,360.0,77.0,25.1,13.7,-2.5,-2.1,58.0,0.1,-5.7
2018-02-11 11:00:00,-2.4,,12.1,360.0,81.0,21.8,13.1,-2.4,-2.0,53.0,0.1,-5.3
2018-02-11 12:00:00,-2.8,,10.5,360.0,78.0,19.0,12.4,-2.8,-2.2,54.0,0.1,-6.0
2018-02-11 13:00:00,-3.1,,8.9,360.0,72.0,20.0,11.5,-3.2,-2.9,40.0,0.1,-7.4
2018-02-11 14:00:00,-4.2,,10.5,360.0,78.0,17.9,10.5,-4.2,-3.1,52.0,0.0,-7.4
2018-02-11 15:00:00,-4.4,,11.0,360.0,75.0,21.5,11.4,-4.5,-4.0,59.0,0.0,-8.1
2018-02-11 16:00:00,-4.7,,6.7,360.0,75.0,21.5,12.5,-4.8,-4.4,42.0,0.1,-8.5
2018-02-11 17:00:00,-4.5,,9.1,360.0,71.0,15.8,9.4,-4.8,-4.4,24.0,0.0,-8.9
2018-02-11 18:00:00,-4.3,,8.4,360.0,71.0,18.8,9.5,-4.5,-4.2,16.0,0.1,-8.9
2018-02-11 19:00:00,-4.2,81.4,7.3,360.0,68.0,14.2,8.6,-4.3,-4.1,2.0,0.0,-8.9
2018-02-11 20:00:00,-4.2,81.2,10.0,359.0,66.0,16.8,10.1,-4.4,-4.2,15.0,0.1,-9.4
2018-02-11 21:00:00,-4.0,81.4,12.1,356.0,65.0,20.1,12.1,-4.3,-3.9,37.0,0.0,-9.8
2018-02-11 22:00:00,-4.2,76.7,1.6,350.0,66.0,22.8,13.4,-4.4,-4.0,36.0,0.1,-9.4
2018-02-11 23:00:00,-3.9,76.2,6.7,337.0,63.0,13.7,7.2,-4.3,-3.3,18.0,0.0,-9.8
2018-02-12 00:00:00,-4.1,75.5,0.0,0.0,63.0,15.8,7.4,-4.1,-3.1,13.0,0.0,-10.2
2018-02-12 01:00:00,-4.6,75.4,0.0,0.0,67.0,1.5,0.3,-4.6,-4.0,12.0,0.0,-9.8
2018-02-12 02:00:00,-4.3,75.5,0.3,360.0,66.0,0.9,0.4,-4.8,-4.3,3.0,0.0,-9.8
2018-02-12 03:00:00,-4.0,75.4,0.0,0.0,66.0,1.1,0.4,-4.4,-3.9,28.0,0.0,-9.4
2018-02-12 04:00:00,-5.0,75.6,0.7,360.0,83.0,2.0,0.8,-5.0,-3.8,58.0,0.1,-7.4
2018-02-12 05:00:00,-5.2,75.6,0.0,0.0,85.0,1.0,0.7,-5.4,-5.0,49.0,0.1,-7.0
2018-02-12 06:00:00,-5.5,75.6,0.0,0.0,85.0,0.8,0.2,-5.7,-5.0,19.0,0.0,-7.4
2018-02-12 07:00:00,-5.9,75.5,0.0,0.0,92.0,0.0,0.0,-6.5,-5.7,21.0,0.0,-7.0
2018-02-12 08:00:00,-5.6,75.7,0.0,0.0,91.0,0.0,0.0,-6.1,-5.6,59.0,0.1,-7.0
2018-02-12 09:00:00,-5.1,77.3,0.1,360.0,89.0,0.6,0.1,-5.6,-5.0,59.0,0.4,-6.7
2018-02-12 10:00:00,-4.3,78.8,0.0,0.0,88.0,0.3,0.2,-5.2,-4.3,59.0,0.4,-6.0
2018-02-12 11:00:00,-3.7,87.6,0.0,0.0,87.0,1.0,0.2,-4.3,-3.7,59.0,0.3,-5.7
2018-02-12 12:00:00,-2.7,88.9,1.0,360.0,87.0,3.0,1.0,-3.8,-2.4,59.0,0.1,-4.4
2018-02-12 13:00:00,-2.8,86.3,2.1,360.0,92.0,7.6,3.2,-2.8,-2.5,59.0,0.3,-3.8
2018-02-12 14:00:00,-2.6,86.3,3.1,360.0,87.0,6.8,3.9,-3.0,-2.6,59.0,0.0,-4.4
2018-02-12 15:00:00,-2.8,85.7,0.9,360.0,85.0,5.1,3.3,-2.8,-2.6,57.0,0.1,-4.7
2018-02-12 16:00:00,-3.2,85.1,0.4,360.0,92.0,2.7,1.4,-3.2,-2.8,14.0,0.0,-4.4
2018-02-12 17:00:00,-3.4,84.7,0.4,360.0,91.0,2.2,0.9,-3.7,-3.2,10.0,0.0,-4.4
2018-02-12 18:00:00,-3.8,84.2,0.0,0.0,92.0,0.8,0.5,-3.8,-3.5,47.0,0.1,-5.0
2018-02-12 19:00:00,-4.0,87.2,0.0,0.0,88.0,1.4,0.3,-4.0,-3.7,20.0,0.1,-5.7
2018-02-12 20:00:00,-5.7,87.3,0.0,0.0,94.0,0.0,0.0,-5.8,-4.1,4.0,0.0,-6.3
2018-02-12 21:00:00,-5.2,87.2,0.0,0.0,92.0,0.0,0.0,-5.6,-4.7,0.0,0.0,-6.0
2018-02-12 22:00:00,-4.3,87.5,0.0,0.0,92.0,0.5,0.1,-5.1,-4.2,33.0,0.0,-5.7
2018-02-12 23:00:00,-4.2,87.5,0.0,0.0,90.0,0.3,0.0,-4.9,-4.1,0.0,0.0,-5.3
2018-02-13 00:00:00,-3.9,87.3,0.0,0.0,92.0,0.0,0.0,-4.4,-3.8,16.0,0.0,-5.0
2018-02-13 01:00:00,-3.9,87.4,0.0,0.0,93.0,0.0,0.0,-4.8,-3.9,38.0,0.1,-4.7
